cod_prov,periodo,valor,provincia
02,2010-12-31 23:00:00,108.042,Albacete
02,2011-12-31 23:00:00,105.269,Albacete
02,2012-12-31 23:00:00,102.385,Albacete
02,2013-12-31 23:00:00,101.003,Albacete
02,2014-12-31 23:00:00,100.0,Albacete
02,2015-12-31 23:00:00,101.322,Albacete
02,2016-12-31 23:00:00,102.266,Albacete
02,2017-12-31 23:00:00,103.92,Albacete
02,2018-12-31 23:00:00,106.825,Albacete
02,2019-12-31 23:00:00,107.678,Albacete
02,2020-12-31 23:00:00,110.121,Albacete
02,2021-12-31 23:00:00,112.628,Albacete
02,2022-12-31 23:00:00,115.13,Albacete
03,2010-12-31 23:00:00,103.642,Alacant/Alicante
03,2011-12-31 23:00:00,101.994,Alacant/Alicante
03,2012-12-31 23:00:00,99.853,Alacant/Alicante
03,2013-12-31 23:00:00,99.608,Alacant/Alicante
03,2014-12-31 23:00:00,100.0,Alacant/Alicante
03,2015-12-31 23:00:00,101.842,Alacant/Alicante
03,2016-12-31 23:00:00,103.381,Alacant/Alicante
03,2017-12-31 23:00:00,105.671,Alacant/Alicante
03,2018-12-31 23:00:00,108.985,Alacant/Alicante
03,2019-12-31 23:00:00,109.775,Alacant/Alicante
03,2020-12-31 23:00:00,112.182,Alacant/Alicante
03,2021-12-31 23:00:00,115.537,Alacant/Alicante
03,2022-12-31 23:00:00,119.031,Alacant/Alicante
04,2010-12-31 23:00:00,108.386,Almería
04,2011-12-31 23:00:00,105.1,Almería
04,2012-12-31 23:00:00,101.682,Almería
04,2013-12-31 23:00:00,100.608,Almería
04,2014-12-31 23:00:00,100.0,Almería
04,2015-12-31 23:00:00,101.718,Almería
04,2016-12-31 23:00:00,102.822,Almería
04,2017-12-31 23:00:00,104.755,Almería
04,2018-12-31 23:00:00,107.809,Almería
04,2019-12-31 23:00:00,109.501,Almería
04,2020-12-31 23:00:00,111.744,Almería
04,2021-12-31 23:00:00,114.64,Almería
04,2022-12-31 23:00:00,117.471,Almería
05,2010-12-31 23:00:00,108.622,Ávila
05,2011-12-31 23:00:00,106.275,Ávila
05,2012-12-31 23:00:00,102.606,Ávila
05,2013-12-31 23:00:00,101.257,Ávila
05,2014-12-31 23:00:00,100.0,Ávila
05,2015-12-31 23:00:00,101.512,Ávila
05,2016-12-31 23:00:00,102.227,Ávila
05,2017-12-31 23:00:00,104.675,Ávila
05,2018-12-31 23:00:00,107.705,Ávila
05,2019-12-31 23:00:00,108.981,Ávila
05,2020-12-31 23:00:00,111.371,Ávila
05,2021-12-31 23:00:00,114.48,Ávila
05,2022-12-31 23:00:00,117.837,Ávila
06,2010-12-31 23:00:00,103.637,Badajoz
06,2011-12-31 23:00:00,102.752,Badajoz
06,2012-12-31 23:00:00,100.903,Badajoz
06,2013-12-31 23:00:00,100.279,Badajoz
06,2014-12-31 23:00:00,100.0,Badajoz
06,2015-12-31 23:00:00,101.831,Badajoz
06,2016-12-31 23:00:00,102.726,Badajoz
06,2017-12-31 23:00:00,104.002,Badajoz
06,2018-12-31 23:00:00,106.518,Badajoz
06,2019-12-31 23:00:00,107.611,Badajoz
06,2020-12-31 23:00:00,109.386,Badajoz
06,2021-12-31 23:00:00,112.018,Badajoz
06,2022-12-31 23:00:00,114.436,Badajoz
07,2010-12-31 23:00:00,100.055,Illes Balears
07,2011-12-31 23:00:00,99.158,Illes Balears
07,2012-12-31 23:00:00,98.206,Illes Balears
07,2013-12-31 23:00:00,98.765,Illes Balears
07,2014-12-31 23:00:00,100.0,Illes Balears
07,2015-12-31 23:00:00,102.167,Illes Balears
07,2016-12-31 23:00:00,105.011,Illes Balears
07,2017-12-31 23:00:00,109.221,Illes Balears
07,2018-12-31 23:00:00,113.469,Illes Balears
07,2019-12-31 23:00:00,113.259,Illes Balears
07,2020-12-31 23:00:00,115.745,Illes Balears
07,2021-12-31 23:00:00,120.007,Illes Balears
07,2022-12-31 23:00:00,123.906,Illes Balears
08,2010-12-31 23:00:00,104.49,Barcelona
08,2011-12-31 23:00:00,102.74,Barcelona
08,2012-12-31 23:00:00,100.077,Barcelona
08,2013-12-31 23:00:00,99.358,Barcelona
08,2014-12-31 23:00:00,100.0,Barcelona
08,2015-12-31 23:00:00,101.801,Barcelona
08,2016-12-31 23:00:00,104.134,Barcelona
08,2017-12-31 23:00:00,107.785,Barcelona
08,2018-12-31 23:00:00,111.871,Barcelona
08,2019-12-31 23:00:00,113.04,Barcelona
08,2020-12-31 23:00:00,114.388,Barcelona
08,2021-12-31 23:00:00,117.306,Barcelona
08,2022-12-31 23:00:00,120.422,Barcelona
09,2010-12-31 23:00:00,105.383,Burgos
09,2011-12-31 23:00:00,103.795,Burgos
09,2012-12-31 23:00:00,101.024,Burgos
09,2013-12-31 23:00:00,100.203,Burgos
09,2014-12-31 23:00:00,100.0,Burgos
09,2015-12-31 23:00:00,101.009,Burgos
09,2016-12-31 23:00:00,102.308,Burgos
09,2017-12-31 23:00:00,103.874,Burgos
09,2018-12-31 23:00:00,106.441,Burgos
09,2019-12-31 23:00:00,107.283,Burgos
09,2020-12-31 23:00:00,109.116,Burgos
09,2021-12-31 23:00:00,111.155,Burgos
09,2022-12-31 23:00:00,113.528,Burgos
10,2010-12-31 23:00:00,105.165,Cáceres
10,2011-12-31 23:00:00,104.077,Cáceres
10,2012-12-31 23:00:00,101.681,Cáceres
10,2013-12-31 23:00:00,100.693,Cáceres
10,2014-12-31 23:00:00,100.0,Cáceres
10,2015-12-31 23:00:00,101.091,Cáceres
10,2016-12-31 23:00:00,102.367,Cáceres
10,2017-12-31 23:00:00,103.764,Cáceres
10,2018-12-31 23:00:00,106.212,Cáceres
10,2019-12-31 23:00:00,107.052,Cáceres
10,2020-12-31 23:00:00,109.023,Cáceres
10,2021-12-31 23:00:00,111.282,Cáceres
10,2022-12-31 23:00:00,113.584,Cáceres
11,2010-12-31 23:00:00,102.599,Cádiz
11,2011-12-31 23:00:00,102.12,Cádiz
11,2012-12-31 23:00:00,100.351,Cádiz
11,2013-12-31 23:00:00,100.004,Cádiz
11,2014-12-31 23:00:00,100.0,Cádiz
11,2015-12-31 23:00:00,102.224,Cádiz
11,2016-12-31 23:00:00,103.216,Cádiz
11,2017-12-31 23:00:00,104.693,Cádiz
11,2018-12-31 23:00:00,107.063,Cádiz
11,2019-12-31 23:00:00,108.068,Cádiz
11,2020-12-31 23:00:00,109.905,Cádiz
11,2021-12-31 23:00:00,112.298,Cádiz
11,2022-12-31 23:00:00,114.402,Cádiz
12,2010-12-31 23:00:00,109.49,Castelló/Castellón
12,2011-12-31 23:00:00,106.387,Castelló/Castellón
12,2012-12-31 23:00:00,102.483,Castelló/Castellón
12,2013-12-31 23:00:00,100.591,Castelló/Castellón
12,2014-12-31 23:00:00,100.0,Castelló/Castellón
12,2015-12-31 23:00:00,101.066,Castelló/Castellón
12,2016-12-31 23:00:00,102.411,Castelló/Castellón
12,2017-12-31 23:00:00,104.627,Castelló/Castellón
