cod_prov,periodo,valor,provincia
02,2022-12-31 23:00:00,115.13,Albacete
03,2022-12-31 23:00:00,119.031,Alacant/Alicante
04,2022-12-31 23:00:00,117.471,Almería
05,2022-12-31 23:00:00,117.837,Ávila
06,2022-12-31 23:00:00,114.436,Badajoz
07,2022-12-31 23:00:00,123.906,Illes Balears
08,2022-12-31 23:00:00,120.422,Barcelona
09,2022-12-31 23:00:00,113.528,Burgos
10,2022-12-31 23:00:00,113.584,Cáceres
11,2022-12-31 23:00:00,114.402,Cádiz
12,2022-12-31 23:00:00,119.114,Castelló/Castellón
13,2022-12-31 23:00:00,113.239,Ciudad Real
14,2022-12-31 23:00:00,111.691,Córdoba
15,2022-12-31 23:00:00,114.443,A Coruña
16,2022-12-31 23:00:00,117.754,Cuenca
17,2022-12-31 23:00:00,117.483,Girona
18,2022-12-31 23:00:00,118.667,Granada
19,2022-12-31 23:00:00,120.876,Guadalajara
21,2022-12-31 23:00:00,115.249,Huelva
22,2022-12-31 23:00:00,117.08,Huesca
23,2022-12-31 23:00:00,112.037,Jaén
24,2022-12-31 23:00:00,110.305,León
25,2022-12-31 23:00:00,115.708,Lleida
26,2022-12-31 23:00:00,115.998,La Rioja
27,2022-12-31 23:00:00,112.278,Lugo
28,2022-12-31 23:00:00,118.178,Madrid
29,2022-12-31 23:00:00,124.222,Málaga
30,2022-12-31 23:00:00,117.657,Murcia
32,2022-12-31 23:00:00,111.577,Ourense
33,2022-12-31 23:00:00,111.921,Asturias
34,2022-12-31 23:00:00,111.606,Palencia
35,2022-12-31 23:00:00,117.851,Las Palmas
36,2022-12-31 23:00:00,115.236,Pontevedra
37,2022-12-31 23:00:00,112.647,Salamanca
38,2022-12-31 23:00:00,121.556,Santa Cruz De Tenerife
39,2022-12-31 23:00:00,115.126,Cantabria
40,2022-12-31 23:00:00,113.971,Segovia
41,2022-12-31 23:00:00,117.551,Sevilla
42,2022-12-31 23:00:00,115.528,Soria
43,2022-12-31 23:00:00,116.859,Tarragona
44,2022-12-31 23:00:00,115.056,Teruel
45,2022-12-31 23:00:00,121.972,Toledo
46,2022-12-31 23:00:00,125.943,València/Valencia
47,2022-12-31 23:00:00,114.817,Valladolid
49,2022-12-31 23:00:00,109.853,Zamora
50,2022-12-31 23:00:00,116.136,Zaragoza
51,2022-12-31 23:00:00,108.542,Ceuta
52,2022-12-31 23:00:00,107.428,Melilla
