cod_prov,periodo,valor,provincia
01,2024-04-30 22:00:00,573.0,Araba/Álava
01,2024-05-31 22:00:00,438.0,Araba/Álava
01,2024-06-30 22:00:00,570.0,Araba/Álava
01,2024-07-31 22:00:00,471.0,Araba/Álava
01,2024-08-31 22:00:00,728.0,Araba/Álava
01,2024-09-30 22:00:00,764.0,Araba/Álava
01,2024-10-31 23:00:00,472.0,Araba/Álava
01,2024-11-30 23:00:00,478.0,Araba/Álava
01,2024-12-31 23:00:00,552.0,Araba/Álava
01,2025-01-31 23:00:00,639.0,Araba/Álava
01,2025-02-28 23:00:00,536.0,Araba/Álava
01,2025-03-31 22:00:00,480.0,Araba/Álava
01,2025-04-30 22:00:00,602.0,Araba/Álava
01,2025-05-31 22:00:00,654.0,Araba/Álava
01,2025-06-30 22:00:00,645.0,Araba/Álava
01,2025-07-31 22:00:00,455.0,Araba/Álava
01,2025-08-31 22:00:00,862.0,Araba/Álava
01,2025-09-30 22:00:00,709.0,Araba/Álava
01,2025-10-31 23:00:00,505.0,Araba/Álava
01,2025-11-30 23:00:00,533.0,Araba/Álava
02,2024-04-30 22:00:00,474.0,Albacete
02,2024-05-31 22:00:00,532.0,Albacete
02,2024-06-30 22:00:00,566.0,Albacete
02,2024-07-31 22:00:00,556.0,Albacete
02,2024-08-31 22:00:00,587.0,Albacete
02,2024-09-30 22:00:00,728.0,Albacete
02,2024-10-31 23:00:00,545.0,Albacete
02,2024-11-30 23:00:00,522.0,Albacete
02,2024-12-31 23:00:00,649.0,Albacete
02,2025-01-31 23:00:00,609.0,Albacete
02,2025-02-28 23:00:00,693.0,Albacete
02,2025-03-31 22:00:00,624.0,Albacete
02,2025-04-30 22:00:00,651.0,Albacete
02,2025-05-31 22:00:00,613.0,Albacete
02,2025-06-30 22:00:00,815.0,Albacete
02,2025-07-31 22:00:00,525.0,Albacete
02,2025-08-31 22:00:00,607.0,Albacete
02,2025-09-30 22:00:00,991.0,Albacete
02,2025-10-31 23:00:00,652.0,Albacete
02,2025-11-30 23:00:00,665.0,Albacete
03,2024-04-30 22:00:00,5470.0,Alacant/Alicante
03,2024-05-31 22:00:00,5780.0,Alacant/Alicante
03,2024-06-30 22:00:00,6705.0,Alacant/Alicante
03,2024-07-31 22:00:00,5733.0,Alacant/Alicante
03,2024-08-31 22:00:00,7225.0,Alacant/Alicante
03,2024-09-30 22:00:00,7540.0,Alacant/Alicante
03,2024-10-31 23:00:00,6428.0,Alacant/Alicante
03,2024-11-30 23:00:00,5687.0,Alacant/Alicante
03,2024-12-31 23:00:00,6549.0,Alacant/Alicante
03,2025-01-31 23:00:00,6439.0,Alacant/Alicante
03,2025-02-28 23:00:00,6603.0,Alacant/Alicante
03,2025-03-31 22:00:00,6074.0,Alacant/Alicante
03,2025-04-30 22:00:00,7159.0,Alacant/Alicante
03,2025-05-31 22:00:00,6173.0,Alacant/Alicante
03,2025-06-30 22:00:00,7163.0,Alacant/Alicante
03,2025-07-31 22:00:00,4964.0,Alacant/Alicante
03,2025-08-31 22:00:00,6819.0,Alacant/Alicante
03,2025-09-30 22:00:00,7488.0,Alacant/Alicante
03,2025-10-31 23:00:00,6655.0,Alacant/Alicante
03,2025-11-30 23:00:00,5681.0,Alacant/Alicante
04,2024-04-30 22:00:00,1408.0,Almería
04,2024-05-31 22:00:00,1740.0,Almería
04,2024-06-30 22:00:00,1804.0,Almería
04,2024-07-31 22:00:00,1675.0,Almería
04,2024-08-31 22:00:00,1621.0,Almería
04,2024-09-30 22:00:00,2097.0,Almería
04,2024-10-31 23:00:00,1684.0,Almería
04,2024-11-30 23:00:00,1903.0,Almería
04,2024-12-31 23:00:00,1823.0,Almería
04,2025-01-31 23:00:00,1706.0,Almería
04,2025-02-28 23:00:00,2730.0,Almería
04,2025-03-31 22:00:00,1916.0,Almería
04,2025-04-30 22:00:00,2020.0,Almería
04,2025-05-31 22:00:00,2106.0,Almería
04,2025-06-30 22:00:00,2163.0,Almería
