cod_prov,periodo,valor,provincia
01,2025-11-30 23:00:00,533.0,Araba/Álava
02,2025-11-30 23:00:00,665.0,Albacete
03,2025-11-30 23:00:00,5681.0,Alacant/Alicante
04,2025-11-30 23:00:00,1861.0,Almería
05,2025-11-30 23:00:00,383.0,Ávila
06,2025-11-30 23:00:00,1105.0,Badajoz
07,2025-11-30 23:00:00,1781.0,Illes Balears
08,2025-11-30 23:00:00,8460.0,Barcelona
09,2025-11-30 23:00:00,891.0,Burgos
10,2025-11-30 23:00:00,782.0,Cáceres
11,2025-11-30 23:00:00,2373.0,Cádiz
12,2025-11-30 23:00:00,1677.0,Castelló/Castellón
13,2025-11-30 23:00:00,1068.0,Ciudad Real
14,2025-11-30 23:00:00,1618.0,Córdoba
15,2025-11-30 23:00:00,1788.0,A Coruña
16,2025-11-30 23:00:00,352.0,Cuenca
17,2025-11-30 23:00:00,1787.0,Girona
18,2025-11-30 23:00:00,1917.0,Granada
19,2025-11-30 23:00:00,601.0,Guadalajara
20,2025-11-30 23:00:00,1364.0,Gipuzkoa/Guipúzcoa
21,2025-11-30 23:00:00,1061.0,Huelva
22,2025-11-30 23:00:00,516.0,Huesca
23,2025-11-30 23:00:00,1223.0,Jaén
24,2025-11-30 23:00:00,983.0,León
25,2025-11-30 23:00:00,646.0,Lleida
26,2025-11-30 23:00:00,715.0,La Rioja
27,2025-11-30 23:00:00,551.0,Lugo
28,2025-11-30 23:00:00,10247.0,Madrid
29,2025-11-30 23:00:00,4069.0,Málaga
30,2025-11-30 23:00:00,3016.0,Murcia
31,2025-11-30 23:00:00,1063.0,Navarra
32,2025-11-30 23:00:00,374.0,Ourense
33,2025-11-30 23:00:00,2154.0,Asturias
34,2025-11-30 23:00:00,296.0,Palencia
35,2025-11-30 23:00:00,1695.0,Las Palmas
36,2025-11-30 23:00:00,1268.0,Pontevedra
37,2025-11-30 23:00:00,670.0,Salamanca
38,2025-11-30 23:00:00,1434.0,Santa Cruz De Tenerife
39,2025-11-30 23:00:00,1325.0,Cantabria
40,2025-11-30 23:00:00,454.0,Segovia
41,2025-11-30 23:00:00,3423.0,Sevilla
42,2025-11-30 23:00:00,207.0,Soria
43,2025-11-30 23:00:00,1905.0,Tarragona
44,2025-11-30 23:00:00,251.0,Teruel
45,2025-11-30 23:00:00,1584.0,Toledo
46,2025-11-30 23:00:00,5784.0,València/Valencia
47,2025-11-30 23:00:00,901.0,Valladolid
48,2025-11-30 23:00:00,1800.0,Bizkaia/Vizcaya
49,2025-11-30 23:00:00,383.0,Zamora
50,2025-11-30 23:00:00,1719.0,Zaragoza
51,2025-11-30 23:00:00,59.0,Ceuta
52,2025-11-30 23:00:00,68.0,Melilla
