cod_prov,periodo,valor,provincia
01,2014-12-31 23:00:00,4.45,Araba/Álava
01,2015-12-31 23:00:00,7.02,Araba/Álava
01,2016-12-31 23:00:00,7.7,Araba/Álava
01,2017-12-31 23:00:00,7.12,Araba/Álava
01,2018-12-31 23:00:00,8.36,Araba/Álava
01,2019-12-31 23:00:00,1.83,Araba/Álava
01,2020-12-31 23:00:00,1.27,Araba/Álava
01,2021-12-31 23:00:00,7.16,Araba/Álava
01,2022-12-31 23:00:00,6.77,Araba/Álava
01,2023-12-31 23:00:00,9.89,Araba/Álava
02,2014-12-31 23:00:00,-5.47,Albacete
02,2015-12-31 23:00:00,-4.2,Albacete
02,2016-12-31 23:00:00,-3.28,Albacete
02,2017-12-31 23:00:00,-2.91,Albacete
02,2018-12-31 23:00:00,0.05,Albacete
02,2019-12-31 23:00:00,-2.87,Albacete
02,2020-12-31 23:00:00,-1.96,Albacete
02,2021-12-31 23:00:00,4.04,Albacete
02,2022-12-31 23:00:00,3.97,Albacete
02,2023-12-31 23:00:00,4.31,Albacete
03,2014-12-31 23:00:00,-0.38,Alacant/Alicante
03,2015-12-31 23:00:00,-0.63,Alacant/Alicante
03,2016-12-31 23:00:00,1.42,Alacant/Alicante
03,2017-12-31 23:00:00,8.72,Alacant/Alicante
03,2018-12-31 23:00:00,11.92,Alacant/Alicante
03,2019-12-31 23:00:00,5.0,Alacant/Alicante
03,2020-12-31 23:00:00,10.78,Alacant/Alicante
03,2021-12-31 23:00:00,24.73,Alacant/Alicante
03,2022-12-31 23:00:00,19.26,Alacant/Alicante
03,2023-12-31 23:00:00,20.0,Alacant/Alicante
04,2014-12-31 23:00:00,8.62,Almería
04,2015-12-31 23:00:00,6.86,Almería
04,2016-12-31 23:00:00,3.47,Almería
04,2017-12-31 23:00:00,9.6,Almería
04,2018-12-31 23:00:00,13.75,Almería
04,2019-12-31 23:00:00,8.85,Almería
04,2020-12-31 23:00:00,12.4,Almería
04,2021-12-31 23:00:00,18.52,Almería
04,2022-12-31 23:00:00,10.04,Almería
04,2023-12-31 23:00:00,12.52,Almería
05,2014-12-31 23:00:00,-12.31,Ávila
05,2015-12-31 23:00:00,-11.6,Ávila
05,2016-12-31 23:00:00,-10.45,Ávila
05,2017-12-31 23:00:00,-5.44,Ávila
05,2018-12-31 23:00:00,-2.63,Ávila
05,2019-12-31 23:00:00,0.5,Ávila
05,2020-12-31 23:00:00,1.29,Ávila
05,2021-12-31 23:00:00,4.15,Ávila
05,2022-12-31 23:00:00,4.37,Ávila
05,2023-12-31 23:00:00,1.71,Ávila
06,2014-12-31 23:00:00,-4.8,Badajoz
06,2015-12-31 23:00:00,-5.77,Badajoz
06,2016-12-31 23:00:00,-4.88,Badajoz
06,2017-12-31 23:00:00,-3.5,Badajoz
06,2018-12-31 23:00:00,-1.99,Badajoz
06,2019-12-31 23:00:00,-1.42,Badajoz
06,2020-12-31 23:00:00,-4.84,Badajoz
06,2021-12-31 23:00:00,-2.7,Badajoz
06,2022-12-31 23:00:00,-0.03,Badajoz
06,2023-12-31 23:00:00,-1.31,Badajoz
07,2014-12-31 23:00:00,5.7,Illes Balears
07,2015-12-31 23:00:00,9.92,Illes Balears
07,2016-12-31 23:00:00,11.24,Illes Balears
07,2017-12-31 23:00:00,14.54,Illes Balears
07,2018-12-31 23:00:00,16.2,Illes Balears
07,2019-12-31 23:00:00,5.59,Illes Balears
07,2020-12-31 23:00:00,3.06,Illes Balears
07,2021-12-31 23:00:00,19.08,Illes Balears
07,2022-12-31 23:00:00,17.91,Illes Balears
07,2023-12-31 23:00:00,14.57,Illes Balears
08,2014-12-31 23:00:00,3.62,Barcelona
08,2015-12-31 23:00:00,6.29,Barcelona
08,2016-12-31 23:00:00,8.85,Barcelona
08,2017-12-31 23:00:00,11.9,Barcelona
08,2018-12-31 23:00:00,11.96,Barcelona
08,2019-12-31 23:00:00,2.09,Barcelona
08,2020-12-31 23:00:00,-0.46,Barcelona
08,2021-12-31 23:00:00,17.0,Barcelona
08,2022-12-31 23:00:00,13.76,Barcelona
08,2023-12-31 23:00:00,13.9,Barcelona
09,2014-12-31 23:00:00,-7.62,Burgos
09,2015-12-31 23:00:00,-6.0,Burgos
09,2016-12-31 23:00:00,-3.5,Burgos
09,2017-12-31 23:00:00,-1.57,Burgos
09,2018-12-31 23:00:00,1.44,Burgos
09,2019-12-31 23:00:00,-3.03,Burgos
09,2020-12-31 23:00:00,-3.36,Burgos
09,2021-12-31 23:00:00,7.09,Burgos
09,2022-12-31 23:00:00,6.61,Burgos
09,2023-12-31 23:00:00,8.09,Burgos
10,2014-12-31 23:00:00,-6.88,Cáceres
10,2015-12-31 23:00:00,-7.76,Cáceres
10,2016-12-31 23:00:00,-7.75,Cáceres
10,2017-12-31 23:00:00,-6.17,Cáceres
10,2018-12-31 23:00:00,-4.11,Cáceres
10,2019-12-31 23:00:00,-6.09,Cáceres
10,2020-12-31 23:00:00,-4.07,Cáceres
10,2021-12-31 23:00:00,-1.8,Cáceres
10,2022-12-31 23:00:00,1.02,Cáceres
10,2023-12-31 23:00:00,-1.19,Cáceres
11,2014-12-31 23:00:00,-0.88,Cádiz
11,2015-12-31 23:00:00,-0.31,Cádiz
11,2016-12-31 23:00:00,-0.28,Cádiz
11,2017-12-31 23:00:00,-0.44,Cádiz
11,2018-12-31 23:00:00,3.19,Cádiz
