cod_prov,periodo,valor,provincia
02,2015-12-31 23:00:00,52.72,Albacete
02,2016-12-31 23:00:00,52.62,Albacete
02,2017-12-31 23:00:00,52.85,Albacete
02,2018-12-31 23:00:00,52.97,Albacete
02,2019-12-31 23:00:00,52.82,Albacete
02,2020-12-31 23:00:00,52.36,Albacete
02,2021-12-31 23:00:00,52.49,Albacete
02,2022-12-31 23:00:00,52.53,Albacete
02,2023-12-31 23:00:00,52.88,Albacete
02,2024-12-31 23:00:00,53.4,Albacete
03,2015-12-31 23:00:00,54.53,Alacant/Alicante
03,2016-12-31 23:00:00,54.85,Alacant/Alicante
03,2017-12-31 23:00:00,55.14,Alacant/Alicante
03,2018-12-31 23:00:00,55.07,Alacant/Alicante
03,2019-12-31 23:00:00,54.93,Alacant/Alicante
03,2020-12-31 23:00:00,54.86,Alacant/Alicante
03,2021-12-31 23:00:00,55.12,Alacant/Alicante
03,2022-12-31 23:00:00,55.18,Alacant/Alicante
03,2023-12-31 23:00:00,54.82,Alacant/Alicante
03,2024-12-31 23:00:00,54.62,Alacant/Alicante
04,2015-12-31 23:00:00,48.42,Almería
04,2016-12-31 23:00:00,48.84,Almería
04,2017-12-31 23:00:00,49.21,Almería
04,2018-12-31 23:00:00,49.25,Almería
04,2019-12-31 23:00:00,49.3,Almería
04,2020-12-31 23:00:00,49.23,Almería
04,2021-12-31 23:00:00,49.13,Almería
04,2022-12-31 23:00:00,49.01,Almería
04,2023-12-31 23:00:00,49.34,Almería
04,2024-12-31 23:00:00,49.42,Almería
05,2015-12-31 23:00:00,62.05,Ávila
05,2016-12-31 23:00:00,62.34,Ávila
05,2017-12-31 23:00:00,62.81,Ávila
05,2018-12-31 23:00:00,63.13,Ávila
05,2019-12-31 23:00:00,63.41,Ávila
05,2020-12-31 23:00:00,62.98,Ávila
05,2021-12-31 23:00:00,63.26,Ávila
05,2022-12-31 23:00:00,63.66,Ávila
05,2023-12-31 23:00:00,64.27,Ávila
05,2024-12-31 23:00:00,65.15,Ávila
06,2015-12-31 23:00:00,52.52,Badajoz
06,2016-12-31 23:00:00,52.79,Badajoz
06,2017-12-31 23:00:00,53.1,Badajoz
06,2018-12-31 23:00:00,53.31,Badajoz
06,2019-12-31 23:00:00,53.37,Badajoz
06,2020-12-31 23:00:00,53.4,Badajoz
06,2021-12-31 23:00:00,53.54,Badajoz
06,2022-12-31 23:00:00,53.86,Badajoz
