cod_prov,periodo,valor,provincia
02,2024-12-31 23:00:00,53.4,Albacete
03,2024-12-31 23:00:00,54.62,Alacant/Alicante
04,2024-12-31 23:00:00,49.42,Almería
05,2024-12-31 23:00:00,65.15,Ávila
06,2024-12-31 23:00:00,54.99,Badajoz
08,2024-12-31 23:00:00,51.16,Barcelona
09,2024-12-31 23:00:00,61.97,Burgos
10,2024-12-31 23:00:00,60.03,Cáceres
11,2024-12-31 23:00:00,51.05,Cádiz
12,2024-12-31 23:00:00,53.56,Castelló/Castellón
13,2024-12-31 23:00:00,55.55,Ciudad Real
14,2024-12-31 23:00:00,55.44,Córdoba
16,2024-12-31 23:00:00,57.08,Cuenca
17,2024-12-31 23:00:00,52.81,Girona
18,2024-12-31 23:00:00,52.49,Granada
19,2024-12-31 23:00:00,48.16,Guadalajara
21,2024-12-31 23:00:00,49.61,Huelva
22,2024-12-31 23:00:00,58.59,Huesca
23,2024-12-31 23:00:00,54.22,Jaén
24,2024-12-31 23:00:00,66.65,León
25,2024-12-31 23:00:00,53.58,Lleida
27,2024-12-31 23:00:00,69.2,Lugo
28,2024-12-31 23:00:00,49.78,Madrid
29,2024-12-31 23:00:00,51.0,Málaga
30,2024-12-31 23:00:00,50.64,Murcia
31,2024-12-31 23:00:00,56.4,Navarra
32,2024-12-31 23:00:00,73.39,Ourense
33,2024-12-31 23:00:00,64.07,Asturias
34,2024-12-31 23:00:00,65.99,Palencia
36,2024-12-31 23:00:00,58.31,Pontevedra
37,2024-12-31 23:00:00,65.63,Salamanca
38,2024-12-31 23:00:00,45.18,Santa Cruz De Tenerife
39,2024-12-31 23:00:00,58.55,Cantabria
40,2024-12-31 23:00:00,58.24,Segovia
41,2024-12-31 23:00:00,50.82,Sevilla
42,2024-12-31 23:00:00,62.85,Soria
43,2024-12-31 23:00:00,54.33,Tarragona
44,2024-12-31 23:00:00,61.58,Teruel
45,2024-12-31 23:00:00,53.28,Toledo
46,2024-12-31 23:00:00,51.8,València/Valencia
47,2024-12-31 23:00:00,61.11,Valladolid
49,2024-12-31 23:00:00,73.19,Zamora
50,2024-12-31 23:00:00,56.44,Zaragoza
51,2024-12-31 23:00:00,47.2,Ceuta
52,2024-12-31 23:00:00,50.76,Melilla
