cod_prov,periodo,valor,provincia
02,2015-12-31 23:00:00,117.87,Albacete
02,2016-12-31 23:00:00,120.16,Albacete
02,2017-12-31 23:00:00,122.22,Albacete
02,2018-12-31 23:00:00,125.2,Albacete
02,2019-12-31 23:00:00,128.04,Albacete
02,2020-12-31 23:00:00,129.66,Albacete
02,2021-12-31 23:00:00,133.03,Albacete
02,2022-12-31 23:00:00,137.23,Albacete
02,2023-12-31 23:00:00,142.8,Albacete
02,2024-12-31 23:00:00,149.27,Albacete
03,2015-12-31 23:00:00,121.69,Alacant/Alicante
03,2016-12-31 23:00:00,123.47,Alacant/Alicante
03,2017-12-31 23:00:00,124.87,Alacant/Alicante
03,2018-12-31 23:00:00,126.57,Alacant/Alicante
03,2019-12-31 23:00:00,128.69,Alacant/Alicante
03,2020-12-31 23:00:00,132.49,Alacant/Alicante
03,2021-12-31 23:00:00,138.21,Alacant/Alicante
03,2022-12-31 23:00:00,139.47,Alacant/Alicante
03,2023-12-31 23:00:00,141.67,Alacant/Alicante
03,2024-12-31 23:00:00,145.95,Alacant/Alicante
04,2015-12-31 23:00:00,77.75,Almería
04,2016-12-31 23:00:00,79.23,Almería
04,2017-12-31 23:00:00,80.53,Almería
04,2018-12-31 23:00:00,81.7,Almería
04,2019-12-31 23:00:00,83.42,Almería
04,2020-12-31 23:00:00,85.8,Almería
04,2021-12-31 23:00:00,87.85,Almería
04,2022-12-31 23:00:00,90.07,Almería
04,2023-12-31 23:00:00,93.49,Almería
04,2024-12-31 23:00:00,97.33,Almería
05,2015-12-31 23:00:00,189.72,Ávila
05,2016-12-31 23:00:00,193.19,Ávila
05,2017-12-31 23:00:00,194.84,Ávila
05,2018-12-31 23:00:00,199.03,Ávila
05,2019-12-31 23:00:00,201.65,Ávila
05,2020-12-31 23:00:00,203.68,Ávila
05,2021-12-31 23:00:00,211.75,Ávila
05,2022-12-31 23:00:00,214.75,Ávila
05,2023-12-31 23:00:00,219.24,Ávila
05,2024-12-31 23:00:00,221.67,Ávila
06,2015-12-31 23:00:00,118.68,Badajoz
06,2016-12-31 23:00:00,121.28,Badajoz
06,2017-12-31 23:00:00,123.61,Badajoz
06,2018-12-31 23:00:00,126.51,Badajoz
06,2019-12-31 23:00:00,129.33,Badajoz
06,2020-12-31 23:00:00,132.14,Badajoz
06,2021-12-31 23:00:00,136.19,Badajoz
06,2022-12-31 23:00:00,140.83,Badajoz
06,2023-12-31 23:00:00,147.11,Badajoz
06,2024-12-31 23:00:00,154.25,Badajoz
08,2015-12-31 23:00:00,112.11,Barcelona
08,2016-12-31 23:00:00,113.75,Barcelona
08,2017-12-31 23:00:00,115.33,Barcelona
08,2018-12-31 23:00:00,117.18,Barcelona
08,2019-12-31 23:00:00,119.51,Barcelona
08,2020-12-31 23:00:00,122.12,Barcelona
08,2021-12-31 23:00:00,126.06,Barcelona
08,2022-12-31 23:00:00,129.21,Barcelona
08,2023-12-31 23:00:00,133.93,Barcelona
08,2024-12-31 23:00:00,139.32,Barcelona
09,2015-12-31 23:00:00,162.94,Burgos
09,2016-12-31 23:00:00,166.23,Burgos
09,2017-12-31 23:00:00,169.11,Burgos
09,2018-12-31 23:00:00,172.99,Burgos
09,2019-12-31 23:00:00,175.34,Burgos
09,2020-12-31 23:00:00,178.71,Burgos
09,2021-12-31 23:00:00,185.67,Burgos
09,2022-12-31 23:00:00,189.47,Burgos
09,2023-12-31 23:00:00,195.52,Burgos
09,2024-12-31 23:00:00,202.49,Burgos
10,2015-12-31 23:00:00,159.39,Cáceres
10,2016-12-31 23:00:00,163.03,Cáceres
10,2017-12-31 23:00:00,166.82,Cáceres
10,2018-12-31 23:00:00,171.82,Cáceres
10,2019-12-31 23:00:00,176.77,Cáceres
10,2020-12-31 23:00:00,181.2,Cáceres
10,2021-12-31 23:00:00,187.17,Cáceres
10,2022-12-31 23:00:00,192.44,Cáceres
10,2023-12-31 23:00:00,199.86,Cáceres
10,2024-12-31 23:00:00,208.84,Cáceres
11,2015-12-31 23:00:00,86.39,Cádiz
11,2016-12-31 23:00:00,89.15,Cádiz
11,2017-12-31 23:00:00,92.66,Cádiz
11,2018-12-31 23:00:00,96.18,Cádiz
11,2019-12-31 23:00:00,100.14,Cádiz
11,2020-12-31 23:00:00,104.97,Cádiz
11,2021-12-31 23:00:00,110.18,Cádiz
11,2022-12-31 23:00:00,116.8,Cádiz
11,2023-12-31 23:00:00,123.95,Cádiz
11,2024-12-31 23:00:00,132.22,Cádiz
12,2015-12-31 23:00:00,111.85,Castelló/Castellón
12,2016-12-31 23:00:00,114.21,Castelló/Castellón
12,2017-12-31 23:00:00,116.98,Castelló/Castellón
12,2018-12-31 23:00:00,119.5,Castelló/Castellón
12,2019-12-31 23:00:00,122.13,Castelló/Castellón
12,2020-12-31 23:00:00,125.87,Castelló/Castellón
12,2021-12-31 23:00:00,128.96,Castelló/Castellón
12,2022-12-31 23:00:00,131.26,Castelló/Castellón
12,2023-12-31 23:00:00,135.05,Castelló/Castellón
12,2024-12-31 23:00:00,139.64,Castelló/Castellón
13,2015-12-31 23:00:00,124.72,Ciudad Real
13,2016-12-31 23:00:00,126.8,Ciudad Real
13,2017-12-31 23:00:00,129.65,Ciudad Real
13,2018-12-31 23:00:00,132.79,Ciudad Real
13,2019-12-31 23:00:00,135.16,Ciudad Real
13,2020-12-31 23:00:00,136.56,Ciudad Real
13,2021-12-31 23:00:00,140.66,Ciudad Real
13,2022-12-31 23:00:00,145.34,Ciudad Real
13,2023-12-31 23:00:00,150.9,Ciudad Real
13,2024-12-31 23:00:00,157.09,Ciudad Real
14,2015-12-31 23:00:00,113.83,Córdoba
14,2016-12-31 23:00:00,116.0,Córdoba
14,2017-12-31 23:00:00,118.84,Córdoba
14,2018-12-31 23:00:00,122.32,Córdoba
14,2019-12-31 23:00:00,125.86,Córdoba
14,2020-12-31 23:00:00,130.15,Córdoba
14,2021-12-31 23:00:00,134.88,Córdoba
14,2022-12-31 23:00:00,140.0,Córdoba
14,2023-12-31 23:00:00,146.19,Córdoba
14,2024-12-31 23:00:00,153.28,Córdoba
16,2015-12-31 23:00:00,165.7,Cuenca
16,2016-12-31 23:00:00,167.19,Cuenca
16,2017-12-31 23:00:00,169.23,Cuenca
16,2018-12-31 23:00:00,172.52,Cuenca
16,2019-12-31 23:00:00,172.82,Cuenca
16,2020-12-31 23:00:00,173.18,Cuenca
16,2021-12-31 23:00:00,176.09,Cuenca
16,2022-12-31 23:00:00,178.01,Cuenca
16,2023-12-31 23:00:00,182.64,Cuenca
16,2024-12-31 23:00:00,185.28,Cuenca
17,2015-12-31 23:00:00,99.24,Girona
