cod_prov,periodo,valor,provincia
02,2024-12-31 23:00:00,149.27,Albacete
03,2024-12-31 23:00:00,145.95,Alacant/Alicante
04,2024-12-31 23:00:00,97.33,Almería
05,2024-12-31 23:00:00,221.67,Ávila
06,2024-12-31 23:00:00,154.25,Badajoz
08,2024-12-31 23:00:00,139.32,Barcelona
09,2024-12-31 23:00:00,202.49,Burgos
10,2024-12-31 23:00:00,208.84,Cáceres
11,2024-12-31 23:00:00,132.22,Cádiz
12,2024-12-31 23:00:00,139.64,Castelló/Castellón
13,2024-12-31 23:00:00,157.09,Ciudad Real
14,2024-12-31 23:00:00,153.28,Córdoba
16,2024-12-31 23:00:00,185.28,Cuenca
17,2024-12-31 23:00:00,124.74,Girona
18,2024-12-31 23:00:00,137.77,Granada
19,2024-12-31 23:00:00,109.31,Guadalajara
21,2024-12-31 23:00:00,125.66,Huelva
22,2024-12-31 23:00:00,169.76,Huesca
23,2024-12-31 23:00:00,157.22,Jaén
24,2024-12-31 23:00:00,277.78,León
25,2024-12-31 23:00:00,136.1,Lleida
27,2024-12-31 23:00:00,284.1,Lugo
28,2024-12-31 23:00:00,131.42,Madrid
29,2024-12-31 23:00:00,127.99,Málaga
30,2024-12-31 23:00:00,102.73,Murcia
31,2024-12-31 23:00:00,139.26,Navarra
32,2024-12-31 23:00:00,320.49,Ourense
33,2024-12-31 23:00:00,265.29,Asturias
34,2024-12-31 23:00:00,243.8,Palencia
36,2024-12-31 23:00:00,203.98,Pontevedra
37,2024-12-31 23:00:00,252.36,Salamanca
38,2024-12-31 23:00:00,157.86,Santa Cruz De Tenerife
39,2024-12-31 23:00:00,197.58,Cantabria
40,2024-12-31 23:00:00,182.9,Segovia
41,2024-12-31 23:00:00,120.13,Sevilla
42,2024-12-31 23:00:00,207.4,Soria
43,2024-12-31 23:00:00,133.56,Tarragona
44,2024-12-31 23:00:00,183.11,Teruel
45,2024-12-31 23:00:00,117.47,Toledo
46,2024-12-31 23:00:00,141.43,València/Valencia
47,2024-12-31 23:00:00,196.65,Valladolid
49,2024-12-31 23:00:00,340.86,Zamora
50,2024-12-31 23:00:00,159.45,Zaragoza
51,2024-12-31 23:00:00,74.48,Ceuta
52,2024-12-31 23:00:00,60.4,Melilla
