cod_prov,periodo,valor,provincia
01,2024-04-30 22:00:00,497.0,Araba/Álava
01,2024-05-31 22:00:00,251.0,Araba/Álava
01,2024-06-30 22:00:00,197.0,Araba/Álava
01,2024-07-31 22:00:00,164.0,Araba/Álava
01,2024-08-31 22:00:00,417.0,Araba/Álava
01,2024-09-30 22:00:00,412.0,Araba/Álava
01,2024-10-31 23:00:00,230.0,Araba/Álava
01,2024-11-30 23:00:00,230.0,Araba/Álava
01,2024-12-31 23:00:00,376.0,Araba/Álava
01,2025-01-31 23:00:00,508.0,Araba/Álava
01,2025-02-28 23:00:00,313.0,Araba/Álava
01,2025-03-31 22:00:00,234.0,Araba/Álava
01,2025-04-30 22:00:00,289.0,Araba/Álava
01,2025-05-31 22:00:00,343.0,Araba/Álava
01,2025-06-30 22:00:00,345.0,Araba/Álava
01,2025-07-31 22:00:00,198.0,Araba/Álava
01,2025-08-31 22:00:00,546.0,Araba/Álava
01,2025-09-30 22:00:00,422.0,Araba/Álava
01,2025-10-31 23:00:00,463.0,Araba/Álava
01,2025-11-30 23:00:00,229.0,Araba/Álava
02,2024-04-30 22:00:00,186.0,Albacete
02,2024-05-31 22:00:00,199.0,Albacete
02,2024-06-30 22:00:00,227.0,Albacete
02,2024-07-31 22:00:00,201.0,Albacete
02,2024-08-31 22:00:00,244.0,Albacete
02,2024-09-30 22:00:00,248.0,Albacete
02,2024-10-31 23:00:00,177.0,Albacete
02,2024-11-30 23:00:00,162.0,Albacete
02,2024-12-31 23:00:00,245.0,Albacete
02,2025-01-31 23:00:00,186.0,Albacete
02,2025-02-28 23:00:00,253.0,Albacete
02,2025-03-31 22:00:00,256.0,Albacete
02,2025-04-30 22:00:00,292.0,Albacete
02,2025-05-31 22:00:00,257.0,Albacete
02,2025-06-30 22:00:00,309.0,Albacete
02,2025-07-31 22:00:00,254.0,Albacete
02,2025-08-31 22:00:00,259.0,Albacete
02,2025-09-30 22:00:00,412.0,Albacete
02,2025-10-31 23:00:00,251.0,Albacete
02,2025-11-30 23:00:00,267.0,Albacete
03,2024-04-30 22:00:00,1166.0,Alacant/Alicante
03,2024-05-31 22:00:00,1325.0,Alacant/Alicante
03,2024-06-30 22:00:00,1822.0,Alacant/Alicante
03,2024-07-31 22:00:00,1553.0,Alacant/Alicante
03,2024-08-31 22:00:00,2018.0,Alacant/Alicante
03,2024-09-30 22:00:00,2325.0,Alacant/Alicante
03,2024-10-31 23:00:00,1859.0,Alacant/Alicante
03,2024-11-30 23:00:00,1527.0,Alacant/Alicante
03,2024-12-31 23:00:00,1691.0,Alacant/Alicante
03,2025-01-31 23:00:00,1783.0,Alacant/Alicante
03,2025-02-28 23:00:00,2029.0,Alacant/Alicante
03,2025-03-31 22:00:00,1905.0,Alacant/Alicante
03,2025-04-30 22:00:00,1868.0,Alacant/Alicante
03,2025-05-31 22:00:00,1882.0,Alacant/Alicante
03,2025-06-30 22:00:00,2243.0,Alacant/Alicante
03,2025-07-31 22:00:00,1516.0,Alacant/Alicante
03,2025-08-31 22:00:00,2294.0,Alacant/Alicante
03,2025-09-30 22:00:00,2509.0,Alacant/Alicante
03,2025-10-31 23:00:00,2261.0,Alacant/Alicante
03,2025-11-30 23:00:00,1805.0,Alacant/Alicante
04,2024-04-30 22:00:00,504.0,Almería
04,2024-05-31 22:00:00,586.0,Almería
04,2024-06-30 22:00:00,662.0,Almería
04,2024-07-31 22:00:00,616.0,Almería
04,2024-08-31 22:00:00,739.0,Almería
04,2024-09-30 22:00:00,913.0,Almería
04,2024-10-31 23:00:00,755.0,Almería
04,2024-11-30 23:00:00,554.0,Almería
04,2024-12-31 23:00:00,618.0,Almería
04,2025-01-31 23:00:00,633.0,Almería
04,2025-02-28 23:00:00,791.0,Almería
04,2025-03-31 22:00:00,778.0,Almería
04,2025-04-30 22:00:00,960.0,Almería
04,2025-05-31 22:00:00,758.0,Almería
04,2025-06-30 22:00:00,991.0,Almería
04,2025-07-31 22:00:00,585.0,Almería
04,2025-08-31 22:00:00,752.0,Almería
04,2025-09-30 22:00:00,958.0,Almería
04,2025-10-31 23:00:00,926.0,Almería
04,2025-11-30 23:00:00,757.0,Almería
05,2024-04-30 22:00:00,69.0,Ávila
05,2024-05-31 22:00:00,58.0,Ávila
05,2024-06-30 22:00:00,67.0,Ávila
05,2024-07-31 22:00:00,71.0,Ávila
05,2024-08-31 22:00:00,76.0,Ávila
05,2024-09-30 22:00:00,126.0,Ávila
05,2024-10-31 23:00:00,83.0,Ávila
05,2024-11-30 23:00:00,96.0,Ávila
05,2024-12-31 23:00:00,109.0,Ávila
05,2025-01-31 23:00:00,74.0,Ávila
05,2025-02-28 23:00:00,80.0,Ávila
05,2025-03-31 22:00:00,92.0,Ávila
05,2025-04-30 22:00:00,93.0,Ávila
05,2025-05-31 22:00:00,115.0,Ávila
05,2025-06-30 22:00:00,110.0,Ávila
05,2025-07-31 22:00:00,95.0,Ávila
05,2025-08-31 22:00:00,74.0,Ávila
05,2025-09-30 22:00:00,157.0,Ávila
05,2025-10-31 23:00:00,136.0,Ávila
05,2025-11-30 23:00:00,105.0,Ávila
06,2024-04-30 22:00:00,366.0,Badajoz
06,2024-05-31 22:00:00,373.0,Badajoz
06,2024-06-30 22:00:00,444.0,Badajoz
06,2024-07-31 22:00:00,302.0,Badajoz
06,2024-08-31 22:00:00,443.0,Badajoz
06,2024-09-30 22:00:00,559.0,Badajoz
06,2024-10-31 23:00:00,381.0,Badajoz
06,2024-11-30 23:00:00,297.0,Badajoz
06,2024-12-31 23:00:00,413.0,Badajoz
06,2025-01-31 23:00:00,506.0,Badajoz
06,2025-02-28 23:00:00,457.0,Badajoz
06,2025-03-31 22:00:00,574.0,Badajoz
06,2025-04-30 22:00:00,660.0,Badajoz
06,2025-05-31 22:00:00,607.0,Badajoz
06,2025-06-30 22:00:00,544.0,Badajoz
06,2025-07-31 22:00:00,311.0,Badajoz
06,2025-08-31 22:00:00,581.0,Badajoz
06,2025-09-30 22:00:00,536.0,Badajoz
