cod_prov,periodo,valor,provincia
01,2025-11-30 23:00:00,229.0,Araba/Álava
02,2025-11-30 23:00:00,267.0,Albacete
03,2025-11-30 23:00:00,1805.0,Alacant/Alicante
04,2025-11-30 23:00:00,757.0,Almería
05,2025-11-30 23:00:00,105.0,Ávila
06,2025-11-30 23:00:00,433.0,Badajoz
07,2025-11-30 23:00:00,862.0,Illes Balears
08,2025-11-30 23:00:00,4544.0,Barcelona
09,2025-11-30 23:00:00,238.0,Burgos
10,2025-11-30 23:00:00,220.0,Cáceres
11,2025-11-30 23:00:00,1193.0,Cádiz
12,2025-11-30 23:00:00,670.0,Castelló/Castellón
13,2025-11-30 23:00:00,426.0,Ciudad Real
14,2025-11-30 23:00:00,663.0,Córdoba
15,2025-11-30 23:00:00,767.0,A Coruña
16,2025-11-30 23:00:00,94.0,Cuenca
17,2025-11-30 23:00:00,866.0,Girona
18,2025-11-30 23:00:00,759.0,Granada
19,2025-11-30 23:00:00,278.0,Guadalajara
20,2025-11-30 23:00:00,688.0,Gipuzkoa/Guipúzcoa
21,2025-11-30 23:00:00,375.0,Huelva
22,2025-11-30 23:00:00,170.0,Huesca
23,2025-11-30 23:00:00,354.0,Jaén
24,2025-11-30 23:00:00,307.0,León
25,2025-11-30 23:00:00,282.0,Lleida
26,2025-11-30 23:00:00,253.0,La Rioja
27,2025-11-30 23:00:00,145.0,Lugo
28,2025-11-30 23:00:00,5212.0,Madrid
29,2025-11-30 23:00:00,1790.0,Málaga
30,2025-11-30 23:00:00,1093.0,Murcia
31,2025-11-30 23:00:00,548.0,Navarra
32,2025-11-30 23:00:00,121.0,Ourense
33,2025-11-30 23:00:00,683.0,Asturias
34,2025-11-30 23:00:00,77.0,Palencia
35,2025-11-30 23:00:00,661.0,Las Palmas
36,2025-11-30 23:00:00,503.0,Pontevedra
37,2025-11-30 23:00:00,251.0,Salamanca
38,2025-11-30 23:00:00,578.0,Santa Cruz De Tenerife
39,2025-11-30 23:00:00,540.0,Cantabria
40,2025-11-30 23:00:00,170.0,Segovia
41,2025-11-30 23:00:00,1818.0,Sevilla
42,2025-11-30 23:00:00,46.0,Soria
43,2025-11-30 23:00:00,772.0,Tarragona
44,2025-11-30 23:00:00,73.0,Teruel
45,2025-11-30 23:00:00,680.0,Toledo
46,2025-11-30 23:00:00,2324.0,València/Valencia
47,2025-11-30 23:00:00,461.0,Valladolid
48,2025-11-30 23:00:00,805.0,Bizkaia/Vizcaya
49,2025-11-30 23:00:00,81.0,Zamora
50,2025-11-30 23:00:00,733.0,Zaragoza
51,2025-11-30 23:00:00,52.0,Ceuta
52,2025-11-30 23:00:00,19.0,Melilla
