cod_prov,periodo,valor,provincia
01,2020-12-31 23:00:00,4141.0,Araba/Álava
01,2021-12-31 23:00:00,6391.0,Araba/Álava
01,2022-12-31 23:00:00,6203.0,Araba/Álava
01,2023-12-31 23:00:00,6726.0,Araba/Álava
02,2020-12-31 23:00:00,4542.0,Albacete
02,2021-12-31 23:00:00,6622.0,Albacete
02,2022-12-31 23:00:00,6624.0,Albacete
02,2023-12-31 23:00:00,7027.0,Albacete
03,2020-12-31 23:00:00,61912.0,Alacant/Alicante
03,2021-12-31 23:00:00,84745.0,Alacant/Alicante
03,2022-12-31 23:00:00,81414.0,Alacant/Alicante
03,2023-12-31 23:00:00,84657.0,Alacant/Alicante
04,2020-12-31 23:00:00,22731.0,Almería
04,2021-12-31 23:00:00,25241.0,Almería
04,2022-12-31 23:00:00,22977.0,Almería
04,2023-12-31 23:00:00,25982.0,Almería
05,2020-12-31 23:00:00,2347.0,Ávila
05,2021-12-31 23:00:00,3779.0,Ávila
05,2022-12-31 23:00:00,3440.0,Ávila
05,2023-12-31 23:00:00,3652.0,Ávila
06,2020-12-31 23:00:00,3515.0,Badajoz
06,2021-12-31 23:00:00,5387.0,Badajoz
06,2022-12-31 23:00:00,5700.0,Badajoz
06,2023-12-31 23:00:00,5453.0,Badajoz
07,2020-12-31 23:00:00,31401.0,Illes Balears
07,2020-12-31 23:00:00,31401.0,Illes Balears
07,2021-12-31 23:00:00,43896.0,Illes Balears
07,2021-12-31 23:00:00,43896.0,Illes Balears
07,2022-12-31 23:00:00,45349.0,Illes Balears
07,2022-12-31 23:00:00,45349.0,Illes Balears
07,2023-12-31 23:00:00,43816.0,Illes Balears
07,2023-12-31 23:00:00,43816.0,Illes Balears
08,2020-12-31 23:00:00,148143.0,Barcelona
08,2021-12-31 23:00:00,202812.0,Barcelona
08,2022-12-31 23:00:00,206039.0,Barcelona
08,2023-12-31 23:00:00,207345.0,Barcelona
09,2020-12-31 23:00:00,4252.0,Burgos
09,2021-12-31 23:00:00,6749.0,Burgos
09,2022-12-31 23:00:00,6690.0,Burgos
09,2023-12-31 23:00:00,7239.0,Burgos
10,2020-12-31 23:00:00,2710.0,Cáceres
10,2021-12-31 23:00:00,3955.0,Cáceres
10,2022-12-31 23:00:00,4164.0,Cáceres
10,2023-12-31 23:00:00,4219.0,Cáceres
11,2020-12-31 23:00:00,11348.0,Cádiz
11,2021-12-31 23:00:00,14296.0,Cádiz
11,2022-12-31 23:00:00,14090.0,Cádiz
11,2023-12-31 23:00:00,15723.0,Cádiz
12,2020-12-31 23:00:00,10931.0,Castelló/Castellón
12,2021-12-31 23:00:00,18338.0,Castelló/Castellón
12,2022-12-31 23:00:00,18106.0,Castelló/Castellón
12,2023-12-31 23:00:00,18924.0,Castelló/Castellón
13,2020-12-31 23:00:00,4994.0,Ciudad Real
13,2021-12-31 23:00:00,7470.0,Ciudad Real
13,2022-12-31 23:00:00,7237.0,Ciudad Real
13,2023-12-31 23:00:00,8188.0,Ciudad Real
14,2020-12-31 23:00:00,4633.0,Córdoba
14,2021-12-31 23:00:00,6958.0,Córdoba
14,2022-12-31 23:00:00,6280.0,Córdoba
14,2023-12-31 23:00:00,6530.0,Córdoba
15,2020-12-31 23:00:00,10659.0,A Coruña
15,2021-12-31 23:00:00,16599.0,A Coruña
15,2022-12-31 23:00:00,16591.0,A Coruña
15,2023-12-31 23:00:00,19101.0,A Coruña
16,2020-12-31 23:00:00,3512.0,Cuenca
16,2021-12-31 23:00:00,5085.0,Cuenca
16,2022-12-31 23:00:00,4941.0,Cuenca
16,2023-12-31 23:00:00,5132.0,Cuenca
17,2020-12-31 23:00:00,19989.0,Girona
17,2021-12-31 23:00:00,30389.0,Girona
17,2022-12-31 23:00:00,27279.0,Girona
17,2023-12-31 23:00:00,26889.0,Girona
18,2020-12-31 23:00:00,14049.0,Granada
18,2021-12-31 23:00:00,17554.0,Granada
18,2022-12-31 23:00:00,17374.0,Granada
18,2023-12-31 23:00:00,17655.0,Granada
19,2020-12-31 23:00:00,4368.0,Guadalajara
19,2021-12-31 23:00:00,7510.0,Guadalajara
19,2022-12-31 23:00:00,7309.0,Guadalajara
19,2023-12-31 23:00:00,7836.0,Guadalajara
20,2020-12-31 23:00:00,7873.0,Gipuzkoa/Guipúzcoa
20,2021-12-31 23:00:00,12816.0,Gipuzkoa/Guipúzcoa
20,2022-12-31 23:00:00,12259.0,Gipuzkoa/Guipúzcoa
20,2023-12-31 23:00:00,12766.0,Gipuzkoa/Guipúzcoa
21,2020-12-31 23:00:00,9930.0,Huelva
21,2021-12-31 23:00:00,10455.0,Huelva
21,2022-12-31 23:00:00,10810.0,Huelva
21,2023-12-31 23:00:00,11497.0,Huelva
22,2020-12-31 23:00:00,3893.0,Huesca
22,2021-12-31 23:00:00,5423.0,Huesca
22,2022-12-31 23:00:00,5293.0,Huesca
22,2023-12-31 23:00:00,5788.0,Huesca
23,2020-12-31 23:00:00,3464.0,Jaén
23,2021-12-31 23:00:00,4928.0,Jaén
23,2022-12-31 23:00:00,5501.0,Jaén
23,2023-12-31 23:00:00,6216.0,Jaén
24,2020-12-31 23:00:00,3521.0,León
24,2021-12-31 23:00:00,5761.0,León
24,2022-12-31 23:00:00,5399.0,León
24,2023-12-31 23:00:00,6907.0,León
25,2020-12-31 23:00:00,10113.0,Lleida
25,2021-12-31 23:00:00,13932.0,Lleida
25,2022-12-31 23:00:00,13450.0,Lleida
25,2023-12-31 23:00:00,15403.0,Lleida
26,2020-12-31 23:00:00,4865.0,La Rioja
26,2020-12-31 23:00:00,4865.0,La Rioja
26,2021-12-31 23:00:00,6722.0,La Rioja
26,2021-12-31 23:00:00,6722.0,La Rioja
26,2022-12-31 23:00:00,6537.0,La Rioja
26,2022-12-31 23:00:00,6537.0,La Rioja
26,2023-12-31 23:00:00,6568.0,La Rioja
26,2023-12-31 23:00:00,6568.0,La Rioja
27,2020-12-31 23:00:00,3019.0,Lugo
27,2021-12-31 23:00:00,5048.0,Lugo
27,2022-12-31 23:00:00,5625.0,Lugo
27,2023-12-31 23:00:00,6560.0,Lugo
28,2020-12-31 23:00:00,161784.0,Madrid
28,2020-12-31 23:00:00,161784.0,Madrid
28,2021-12-31 23:00:00,238354.0,Madrid
28,2021-12-31 23:00:00,238354.0,Madrid
28,2022-12-31 23:00:00,238039.0,Madrid
28,2022-12-31 23:00:00,238039.0,Madrid
28,2023-12-31 23:00:00,239292.0,Madrid
28,2023-12-31 23:00:00,239292.0,Madrid
29,2020-12-31 23:00:00,48942.0,Málaga
29,2021-12-31 23:00:00,61056.0,Málaga
29,2022-12-31 23:00:00,54544.0,Málaga
29,2023-12-31 23:00:00,54331.0,Málaga
30,2020-12-31 23:00:00,31686.0,Murcia
30,2020-12-31 23:00:00,31686.0,Murcia
30,2021-12-31 23:00:00,40902.0,Murcia
30,2021-12-31 23:00:00,40902.0,Murcia
30,2022-12-31 23:00:00,40240.0,Murcia
30,2022-12-31 23:00:00,40240.0,Murcia
30,2023-12-31 23:00:00,41072.0,Murcia
30,2023-12-31 23:00:00,41072.0,Murcia
31,2020-12-31 23:00:00,10298.0,Navarra
31,2020-12-31 23:00:00,10298.0,Navarra
31,2021-12-31 23:00:00,15499.0,Navarra
31,2021-12-31 23:00:00,15499.0,Navarra
31,2022-12-31 23:00:00,14437.0,Navarra
31,2022-12-31 23:00:00,14437.0,Navarra
31,2023-12-31 23:00:00,14830.0,Navarra
31,2023-12-31 23:00:00,14830.0,Navarra
32,2020-12-31 23:00:00,3601.0,Ourense
32,2021-12-31 23:00:00,5631.0,Ourense
32,2022-12-31 23:00:00,5467.0,Ourense
32,2023-12-31 23:00:00,6147.0,Ourense
33,2020-12-31 23:00:00,7566.0,Asturias
33,2020-12-31 23:00:00,7566.0,Asturias
33,2021-12-31 23:00:00,13467.0,Asturias
33,2021-12-31 23:00:00,13467.0,Asturias
33,2022-12-31 23:00:00,14403.0,Asturias
33,2022-12-31 23:00:00,14403.0,Asturias
33,2023-12-31 23:00:00,15772.0,Asturias
33,2023-12-31 23:00:00,15772.0,Asturias
34,2020-12-31 23:00:00,1099.0,Palencia
34,2021-12-31 23:00:00,2063.0,Palencia
34,2022-12-31 23:00:00,2147.0,Palencia
34,2023-12-31 23:00:00,2575.0,Palencia
35,2020-12-31 23:00:00,22304.0,Las Palmas
35,2021-12-31 23:00:00,28859.0,Las Palmas
35,2022-12-31 23:00:00,30967.0,Las Palmas
35,2023-12-31 23:00:00,31672.0,Las Palmas
36,2020-12-31 23:00:00,8268.0,Pontevedra
36,2021-12-31 23:00:00,12003.0,Pontevedra
36,2022-12-31 23:00:00,11732.0,Pontevedra
36,2023-12-31 23:00:00,12382.0,Pontevedra
37,2020-12-31 23:00:00,3783.0,Salamanca
37,2021-12-31 23:00:00,5545.0,Salamanca
37,2022-12-31 23:00:00,5278.0,Salamanca
37,2023-12-31 23:00:00,5441.0,Salamanca
38,2020-12-31 23:00:00,24657.0,Santa Cruz De Tenerife
38,2021-12-31 23:00:00,32886.0,Santa Cruz De Tenerife
38,2022-12-31 23:00:00,32620.0,Santa Cruz De Tenerife
38,2023-12-31 23:00:00,30801.0,Santa Cruz De Tenerife
39,2020-12-31 23:00:00,5989.0,Cantabria
39,2020-12-31 23:00:00,5989.0,Cantabria
39,2021-12-31 23:00:00,9472.0,Cantabria
39,2021-12-31 23:00:00,9472.0,Cantabria
39,2022-12-31 23:00:00,9230.0,Cantabria
39,2022-12-31 23:00:00,9230.0,Cantabria
39,2023-12-31 23:00:00,9563.0,Cantabria
39,2023-12-31 23:00:00,9563.0,Cantabria
40,2020-12-31 23:00:00,2156.0,Segovia
40,2021-12-31 23:00:00,3570.0,Segovia
40,2022-12-31 23:00:00,3539.0,Segovia
40,2023-12-31 23:00:00,3686.0,Segovia
41,2020-12-31 23:00:00,16569.0,Sevilla
41,2021-12-31 23:00:00,23647.0,Sevilla
41,2022-12-31 23:00:00,24431.0,Sevilla
41,2023-12-31 23:00:00,26507.0,Sevilla
42,2020-12-31 23:00:00,1303.0,Soria
42,2021-12-31 23:00:00,2581.0,Soria
42,2022-12-31 23:00:00,2405.0,Soria
42,2023-12-31 23:00:00,2353.0,Soria
43,2020-12-31 23:00:00,18898.0,Tarragona
43,2021-12-31 23:00:00,27305.0,Tarragona
43,2022-12-31 23:00:00,25877.0,Tarragona
43,2023-12-31 23:00:00,26409.0,Tarragona
44,2020-12-31 23:00:00,1751.0,Teruel
44,2021-12-31 23:00:00,2840.0,Teruel
44,2022-12-31 23:00:00,2773.0,Teruel
44,2023-12-31 23:00:00,3376.0,Teruel
45,2020-12-31 23:00:00,11135.0,Toledo
45,2021-12-31 23:00:00,17757.0,Toledo
45,2022-12-31 23:00:00,17524.0,Toledo
45,2023-12-31 23:00:00,18032.0,Toledo
46,2020-12-31 23:00:00,53925.0,València/Valencia
46,2021-12-31 23:00:00,80350.0,València/Valencia
46,2022-12-31 23:00:00,86902.0,València/Valencia
46,2023-12-31 23:00:00,89754.0,València/Valencia
47,2020-12-31 23:00:00,4955.0,Valladolid
47,2021-12-31 23:00:00,7652.0,Valladolid
47,2022-12-31 23:00:00,8322.0,Valladolid
47,2023-12-31 23:00:00,8305.0,Valladolid
48,2020-12-31 23:00:00,12033.0,Bizkaia/Vizcaya
48,2021-12-31 23:00:00,20050.0,Bizkaia/Vizcaya
48,2022-12-31 23:00:00,19714.0,Bizkaia/Vizcaya
48,2023-12-31 23:00:00,21321.0,Bizkaia/Vizcaya
49,2020-12-31 23:00:00,1244.0,Zamora
49,2021-12-31 23:00:00,1950.0,Zamora
49,2022-12-31 23:00:00,2113.0,Zamora
49,2023-12-31 23:00:00,2191.0,Zamora
50,2020-12-31 23:00:00,14923.0,Zaragoza
50,2021-12-31 23:00:00,23683.0,Zaragoza
50,2022-12-31 23:00:00,22760.0,Zaragoza
50,2023-12-31 23:00:00,25210.0,Zaragoza
51,2020-12-31 23:00:00,783.0,Ceuta
51,2020-12-31 23:00:00,783.0,Ceuta
51,2021-12-31 23:00:00,898.0,Ceuta
51,2021-12-31 23:00:00,898.0,Ceuta
51,2022-12-31 23:00:00,804.0,Ceuta
51,2022-12-31 23:00:00,804.0,Ceuta
51,2023-12-31 23:00:00,866.0,Ceuta
51,2023-12-31 23:00:00,866.0,Ceuta
52,2020-12-31 23:00:00,1453.0,Melilla
52,2020-12-31 23:00:00,1453.0,Melilla
52,2021-12-31 23:00:00,2013.0,Melilla
52,2021-12-31 23:00:00,2013.0,Melilla
52,2022-12-31 23:00:00,2042.0,Melilla
52,2022-12-31 23:00:00,2042.0,Melilla
52,2023-12-31 23:00:00,2875.0,Melilla
52,2023-12-31 23:00:00,2875.0,Melilla
