cod_prov,periodo,valor,provincia
01,2023-12-31 23:00:00,6726.0,Araba/Álava
02,2023-12-31 23:00:00,7027.0,Albacete
03,2023-12-31 23:00:00,84657.0,Alacant/Alicante
04,2023-12-31 23:00:00,25982.0,Almería
05,2023-12-31 23:00:00,3652.0,Ávila
06,2023-12-31 23:00:00,5453.0,Badajoz
07,2023-12-31 23:00:00,43816.0,Illes Balears
08,2023-12-31 23:00:00,207345.0,Barcelona
09,2023-12-31 23:00:00,7239.0,Burgos
10,2023-12-31 23:00:00,4219.0,Cáceres
11,2023-12-31 23:00:00,15723.0,Cádiz
12,2023-12-31 23:00:00,18924.0,Castelló/Castellón
13,2023-12-31 23:00:00,8188.0,Ciudad Real
14,2023-12-31 23:00:00,6530.0,Córdoba
15,2023-12-31 23:00:00,19101.0,A Coruña
16,2023-12-31 23:00:00,5132.0,Cuenca
17,2023-12-31 23:00:00,26889.0,Girona
18,2023-12-31 23:00:00,17655.0,Granada
19,2023-12-31 23:00:00,7836.0,Guadalajara
20,2023-12-31 23:00:00,12766.0,Gipuzkoa/Guipúzcoa
21,2023-12-31 23:00:00,11497.0,Huelva
22,2023-12-31 23:00:00,5788.0,Huesca
23,2023-12-31 23:00:00,6216.0,Jaén
24,2023-12-31 23:00:00,6907.0,León
25,2023-12-31 23:00:00,15403.0,Lleida
26,2023-12-31 23:00:00,6568.0,La Rioja
27,2023-12-31 23:00:00,6560.0,Lugo
28,2023-12-31 23:00:00,239292.0,Madrid
29,2023-12-31 23:00:00,54331.0,Málaga
30,2023-12-31 23:00:00,41072.0,Murcia
31,2023-12-31 23:00:00,14830.0,Navarra
32,2023-12-31 23:00:00,6147.0,Ourense
33,2023-12-31 23:00:00,15772.0,Asturias
34,2023-12-31 23:00:00,2575.0,Palencia
35,2023-12-31 23:00:00,31672.0,Las Palmas
36,2023-12-31 23:00:00,12382.0,Pontevedra
37,2023-12-31 23:00:00,5441.0,Salamanca
38,2023-12-31 23:00:00,30801.0,Santa Cruz De Tenerife
39,2023-12-31 23:00:00,9563.0,Cantabria
40,2023-12-31 23:00:00,3686.0,Segovia
41,2023-12-31 23:00:00,26507.0,Sevilla
42,2023-12-31 23:00:00,2353.0,Soria
43,2023-12-31 23:00:00,26409.0,Tarragona
44,2023-12-31 23:00:00,3376.0,Teruel
45,2023-12-31 23:00:00,18032.0,Toledo
46,2023-12-31 23:00:00,89754.0,València/Valencia
47,2023-12-31 23:00:00,8305.0,Valladolid
48,2023-12-31 23:00:00,21321.0,Bizkaia/Vizcaya
49,2023-12-31 23:00:00,2191.0,Zamora
50,2023-12-31 23:00:00,25210.0,Zaragoza
51,2023-12-31 23:00:00,866.0,Ceuta
52,2023-12-31 23:00:00,2875.0,Melilla
