cod_prov,periodo,valor,provincia
01,2020-12-31 23:00:00,121.755,Araba/Álava
01,2021-03-31 22:00:00,123.336,Araba/Álava
01,2021-06-30 22:00:00,124.501,Araba/Álava
01,2021-09-30 22:00:00,125.938,Araba/Álava
01,2021-12-31 23:00:00,129.365,Araba/Álava
01,2022-03-31 22:00:00,131.348,Araba/Álava
01,2022-06-30 22:00:00,134.215,Araba/Álava
01,2022-09-30 22:00:00,132.132,Araba/Álava
01,2022-12-31 23:00:00,133.352,Araba/Álava
01,2023-03-31 22:00:00,135.331,Araba/Álava
01,2023-06-30 22:00:00,139.33,Araba/Álava
01,2023-09-30 22:00:00,137.252,Araba/Álava
01,2023-12-31 23:00:00,141.867,Araba/Álava
01,2024-03-31 22:00:00,146.777,Araba/Álava
01,2024-06-30 22:00:00,151.029,Araba/Álava
01,2024-09-30 22:00:00,151.915,Araba/Álava
01,2024-12-31 23:00:00,159.472,Araba/Álava
01,2025-03-31 22:00:00,164.98,Araba/Álava
01,2025-06-30 22:00:00,168.61,Araba/Álava
01,2025-09-30 22:00:00,170.638,Araba/Álava
02,2020-12-31 23:00:00,107.989,Albacete
02,2021-03-31 22:00:00,111.84,Albacete
02,2021-06-30 22:00:00,112.94,Albacete
02,2021-09-30 22:00:00,113.907,Albacete
02,2021-12-31 23:00:00,115.686,Albacete
02,2022-03-31 22:00:00,118.588,Albacete
02,2022-06-30 22:00:00,120.366,Albacete
02,2022-09-30 22:00:00,118.496,Albacete
02,2022-12-31 23:00:00,117.56,Albacete
02,2023-03-31 22:00:00,120.939,Albacete
02,2023-06-30 22:00:00,121.611,Albacete
02,2023-09-30 22:00:00,120.963,Albacete
02,2023-12-31 23:00:00,123.353,Albacete
02,2024-03-31 22:00:00,127.322,Albacete
02,2024-06-30 22:00:00,129.997,Albacete
02,2024-09-30 22:00:00,131.455,Albacete
02,2024-12-31 23:00:00,136.159,Albacete
02,2025-03-31 22:00:00,141.709,Albacete
02,2025-06-30 22:00:00,145.063,Albacete
02,2025-09-30 22:00:00,148.275,Albacete
03,2020-12-31 23:00:00,117.465,Alacant/Alicante
03,2021-03-31 22:00:00,121.046,Alacant/Alicante
03,2021-06-30 22:00:00,123.52,Alacant/Alicante
03,2021-09-30 22:00:00,125.433,Alacant/Alicante
03,2021-12-31 23:00:00,127.966,Alacant/Alicante
03,2022-03-31 22:00:00,130.746,Alacant/Alicante
03,2022-06-30 22:00:00,132.058,Alacant/Alicante
03,2022-09-30 22:00:00,131.774,Alacant/Alicante
03,2022-12-31 23:00:00,132.264,Alacant/Alicante
03,2023-03-31 22:00:00,135.28,Alacant/Alicante
03,2023-06-30 22:00:00,138.773,Alacant/Alicante
03,2023-09-30 22:00:00,137.366,Alacant/Alicante
03,2023-12-31 23:00:00,140.857,Alacant/Alicante
03,2024-03-31 22:00:00,146.95,Alacant/Alicante
03,2024-06-30 22:00:00,151.002,Alacant/Alicante
03,2024-09-30 22:00:00,154.122,Alacant/Alicante
03,2024-12-31 23:00:00,158.202,Alacant/Alicante
03,2025-03-31 22:00:00,165.435,Alacant/Alicante
03,2025-06-30 22:00:00,170.956,Alacant/Alicante
03,2025-09-30 22:00:00,174.969,Alacant/Alicante
04,2020-12-31 23:00:00,120.217,Almería
