cod_prov,periodo,valor,provincia
01,2025-09-30 22:00:00,170.638,Araba/Álava
02,2025-09-30 22:00:00,148.275,Albacete
03,2025-09-30 22:00:00,174.969,Alacant/Alicante
04,2025-09-30 22:00:00,185.917,Almería
05,2025-09-30 22:00:00,166.611,Ávila
06,2025-09-30 22:00:00,145.386,Badajoz
07,2025-09-30 22:00:00,203.457,Illes Balears
08,2025-09-30 22:00:00,193.427,Barcelona
09,2025-09-30 22:00:00,166.611,Burgos
10,2025-09-30 22:00:00,145.386,Cáceres
11,2025-09-30 22:00:00,185.917,Cádiz
12,2025-09-30 22:00:00,174.969,Castelló/Castellón
13,2025-09-30 22:00:00,148.275,Ciudad Real
14,2025-09-30 22:00:00,185.917,Córdoba
15,2025-09-30 22:00:00,167.197,A Coruña
16,2025-09-30 22:00:00,148.275,Cuenca
17,2025-09-30 22:00:00,193.427,Girona
18,2025-09-30 22:00:00,185.917,Granada
19,2025-09-30 22:00:00,148.275,Guadalajara
20,2025-09-30 22:00:00,170.638,Gipuzkoa/Guipúzcoa
21,2025-09-30 22:00:00,185.917,Huelva
22,2025-09-30 22:00:00,179.035,Huesca
23,2025-09-30 22:00:00,185.917,Jaén
24,2025-09-30 22:00:00,166.611,León
25,2025-09-30 22:00:00,193.427,Lleida
26,2025-09-30 22:00:00,173.261,La Rioja
27,2025-09-30 22:00:00,167.197,Lugo
28,2025-09-30 22:00:00,207.668,Madrid
29,2025-09-30 22:00:00,185.917,Málaga
30,2025-09-30 22:00:00,171.78,Murcia
31,2025-09-30 22:00:00,167.127,Navarra
32,2025-09-30 22:00:00,167.197,Ourense
33,2025-09-30 22:00:00,167.186,Asturias
34,2025-09-30 22:00:00,166.611,Palencia
35,2025-09-30 22:00:00,178.512,Las Palmas
36,2025-09-30 22:00:00,167.197,Pontevedra
37,2025-09-30 22:00:00,166.611,Salamanca
38,2025-09-30 22:00:00,178.512,Santa Cruz De Tenerife
39,2025-09-30 22:00:00,183.432,Cantabria
40,2025-09-30 22:00:00,166.611,Segovia
41,2025-09-30 22:00:00,185.917,Sevilla
42,2025-09-30 22:00:00,166.611,Soria
43,2025-09-30 22:00:00,193.427,Tarragona
44,2025-09-30 22:00:00,179.035,Teruel
45,2025-09-30 22:00:00,148.275,Toledo
46,2025-09-30 22:00:00,174.969,València/Valencia
47,2025-09-30 22:00:00,166.611,Valladolid
48,2025-09-30 22:00:00,170.638,Bizkaia/Vizcaya
49,2025-09-30 22:00:00,166.611,Zamora
50,2025-09-30 22:00:00,179.035,Zaragoza
51,2025-09-30 22:00:00,209.084,Ceuta
52,2025-09-30 22:00:00,201.063,Melilla
