cod_prov,periodo,valor,provincia
01,2014-12-31 23:00:00,8.59,Araba/Álava
01,2015-12-31 23:00:00,8.3,Araba/Álava
01,2016-12-31 23:00:00,8.62,Araba/Álava
01,2017-12-31 23:00:00,8.41,Araba/Álava
01,2018-12-31 23:00:00,8.27,Araba/Álava
01,2019-12-31 23:00:00,9.8,Araba/Álava
01,2020-12-31 23:00:00,8.91,Araba/Álava
01,2021-12-31 23:00:00,9.47,Araba/Álava
01,2022-12-31 23:00:00,8.64,Araba/Álava
01,2023-12-31 23:00:00,8.89,Araba/Álava
02,2014-12-31 23:00:00,9.42,Albacete
02,2015-12-31 23:00:00,9.39,Albacete
02,2016-12-31 23:00:00,9.61,Albacete
02,2017-12-31 23:00:00,9.61,Albacete
02,2018-12-31 23:00:00,9.62,Albacete
02,2019-12-31 23:00:00,12.58,Albacete
02,2020-12-31 23:00:00,9.79,Albacete
02,2021-12-31 23:00:00,10.28,Albacete
02,2022-12-31 23:00:00,9.58,Albacete
02,2023-12-31 23:00:00,9.81,Albacete
03,2014-12-31 23:00:00,8.64,Alacant/Alicante
03,2015-12-31 23:00:00,8.26,Alacant/Alicante
03,2016-12-31 23:00:00,8.72,Alacant/Alicante
03,2017-12-31 23:00:00,8.83,Alacant/Alicante
03,2018-12-31 23:00:00,8.53,Alacant/Alicante
03,2019-12-31 23:00:00,9.33,Alacant/Alicante
03,2020-12-31 23:00:00,9.69,Alacant/Alicante
03,2021-12-31 23:00:00,9.33,Alacant/Alicante
03,2022-12-31 23:00:00,8.61,Alacant/Alicante
03,2023-12-31 23:00:00,8.42,Alacant/Alicante
04,2014-12-31 23:00:00,7.61,Almería
04,2015-12-31 23:00:00,7.07,Almería
04,2016-12-31 23:00:00,7.37,Almería
04,2017-12-31 23:00:00,7.82,Almería
04,2018-12-31 23:00:00,7.33,Almería
04,2019-12-31 23:00:00,7.85,Almería
04,2020-12-31 23:00:00,8.44,Almería
04,2021-12-31 23:00:00,8.14,Almería
04,2022-12-31 23:00:00,7.55,Almería
04,2023-12-31 23:00:00,7.41,Almería
05,2014-12-31 23:00:00,13.05,Ávila
05,2015-12-31 23:00:00,12.24,Ávila
05,2016-12-31 23:00:00,13.46,Ávila
05,2017-12-31 23:00:00,12.8,Ávila
05,2018-12-31 23:00:00,12.76,Ávila
05,2019-12-31 23:00:00,16.05,Ávila
05,2020-12-31 23:00:00,12.99,Ávila
05,2021-12-31 23:00:00,13.87,Ávila
05,2022-12-31 23:00:00,12.33,Ávila
05,2023-12-31 23:00:00,12.74,Ávila
06,2014-12-31 23:00:00,10.08,Badajoz
06,2015-12-31 23:00:00,9.92,Badajoz
06,2016-12-31 23:00:00,10.19,Badajoz
06,2017-12-31 23:00:00,10.26,Badajoz
06,2018-12-31 23:00:00,10.09,Badajoz
06,2019-12-31 23:00:00,11.13,Badajoz
06,2020-12-31 23:00:00,11.1,Badajoz
06,2021-12-31 23:00:00,11.02,Badajoz
06,2022-12-31 23:00:00,10.07,Badajoz
06,2023-12-31 23:00:00,10.26,Badajoz
07,2014-12-31 23:00:00,7.47,Illes Balears
07,2015-12-31 23:00:00,7.07,Illes Balears
07,2016-12-31 23:00:00,7.37,Illes Balears
07,2017-12-31 23:00:00,7.15,Illes Balears
07,2018-12-31 23:00:00,6.86,Illes Balears
07,2019-12-31 23:00:00,7.26,Illes Balears
07,2020-12-31 23:00:00,7.43,Illes Balears
07,2021-12-31 23:00:00,7.78,Illes Balears
07,2022-12-31 23:00:00,7.08,Illes Balears
07,2023-12-31 23:00:00,7.25,Illes Balears
08,2014-12-31 23:00:00,8.62,Barcelona
08,2015-12-31 23:00:00,8.44,Barcelona
08,2016-12-31 23:00:00,8.77,Barcelona
08,2017-12-31 23:00:00,8.67,Barcelona
08,2018-12-31 23:00:00,8.28,Barcelona
08,2019-12-31 23:00:00,10.48,Barcelona
08,2020-12-31 23:00:00,8.83,Barcelona
08,2021-12-31 23:00:00,8.91,Barcelona
08,2022-12-31 23:00:00,8.4,Barcelona
08,2023-12-31 23:00:00,8.25,Barcelona
09,2014-12-31 23:00:00,10.69,Burgos
09,2015-12-31 23:00:00,10.68,Burgos
09,2016-12-31 23:00:00,11.24,Burgos
09,2017-12-31 23:00:00,11.25,Burgos
09,2018-12-31 23:00:00,10.91,Burgos
09,2019-12-31 23:00:00,13.4,Burgos
09,2020-12-31 23:00:00,11.16,Burgos
09,2021-12-31 23:00:00,11.96,Burgos
09,2022-12-31 23:00:00,11.34,Burgos
09,2023-12-31 23:00:00,11.0,Burgos
10,2014-12-31 23:00:00,11.43,Cáceres
10,2015-12-31 23:00:00,11.16,Cáceres
10,2016-12-31 23:00:00,11.77,Cáceres
10,2017-12-31 23:00:00,11.48,Cáceres
10,2018-12-31 23:00:00,11.38,Cáceres
10,2019-12-31 23:00:00,14.39,Cáceres
10,2020-12-31 23:00:00,12.54,Cáceres
10,2021-12-31 23:00:00,12.97,Cáceres
10,2022-12-31 23:00:00,11.98,Cáceres
10,2023-12-31 23:00:00,11.96,Cáceres
11,2014-12-31 23:00:00,8.13,Cádiz
11,2015-12-31 23:00:00,7.96,Cádiz
11,2016-12-31 23:00:00,8.05,Cádiz
11,2017-12-31 23:00:00,8.44,Cádiz
11,2018-12-31 23:00:00,8.07,Cádiz
11,2019-12-31 23:00:00,9.0,Cádiz
11,2020-12-31 23:00:00,9.35,Cádiz
11,2021-12-31 23:00:00,9.03,Cádiz
11,2022-12-31 23:00:00,8.63,Cádiz
11,2023-12-31 23:00:00,8.41,Cádiz
12,2014-12-31 23:00:00,9.34,Castelló/Castellón
12,2015-12-31 23:00:00,8.94,Castelló/Castellón
12,2016-12-31 23:00:00,9.21,Castelló/Castellón
12,2017-12-31 23:00:00,9.7,Castelló/Castellón
12,2018-12-31 23:00:00,9.06,Castelló/Castellón
12,2019-12-31 23:00:00,9.71,Castelló/Castellón
12,2020-12-31 23:00:00,10.07,Castelló/Castellón
12,2021-12-31 23:00:00,9.79,Castelló/Castellón
12,2022-12-31 23:00:00,9.12,Castelló/Castellón
12,2023-12-31 23:00:00,8.88,Castelló/Castellón
13,2014-12-31 23:00:00,10.96,Ciudad Real
13,2015-12-31 23:00:00,10.11,Ciudad Real
13,2016-12-31 23:00:00,10.82,Ciudad Real
13,2017-12-31 23:00:00,10.34,Ciudad Real
