cod_prov,periodo,valor,provincia
01,2023-12-31 23:00:00,8.89,Araba/Álava
02,2023-12-31 23:00:00,9.81,Albacete
03,2023-12-31 23:00:00,8.42,Alacant/Alicante
04,2023-12-31 23:00:00,7.41,Almería
05,2023-12-31 23:00:00,12.74,Ávila
06,2023-12-31 23:00:00,10.26,Badajoz
07,2023-12-31 23:00:00,7.25,Illes Balears
08,2023-12-31 23:00:00,8.25,Barcelona
09,2023-12-31 23:00:00,11.0,Burgos
10,2023-12-31 23:00:00,11.96,Cáceres
11,2023-12-31 23:00:00,8.41,Cádiz
12,2023-12-31 23:00:00,8.88,Castelló/Castellón
13,2023-12-31 23:00:00,10.68,Ciudad Real
14,2023-12-31 23:00:00,10.02,Córdoba
15,2023-12-31 23:00:00,11.66,A Coruña
16,2023-12-31 23:00:00,11.71,Cuenca
17,2023-12-31 23:00:00,8.15,Girona
18,2023-12-31 23:00:00,8.61,Granada
19,2023-12-31 23:00:00,7.74,Guadalajara
20,2023-12-31 23:00:00,10.02,Gipuzkoa/Guipúzcoa
21,2023-12-31 23:00:00,8.5,Huelva
22,2023-12-31 23:00:00,10.75,Huesca
23,2023-12-31 23:00:00,10.45,Jaén
24,2023-12-31 23:00:00,13.59,León
25,2023-12-31 23:00:00,9.28,Lleida
26,2023-12-31 23:00:00,10.16,La Rioja
27,2023-12-31 23:00:00,15.09,Lugo
28,2023-12-31 23:00:00,7.0,Madrid
29,2023-12-31 23:00:00,7.73,Málaga
30,2023-12-31 23:00:00,7.42,Murcia
31,2023-12-31 23:00:00,8.87,Navarra
32,2023-12-31 23:00:00,15.43,Ourense
33,2023-12-31 23:00:00,12.95,Asturias
34,2023-12-31 23:00:00,13.16,Palencia
35,2023-12-31 23:00:00,7.5,Las Palmas
36,2023-12-31 23:00:00,10.48,Pontevedra
37,2023-12-31 23:00:00,11.95,Salamanca
38,2023-12-31 23:00:00,8.13,Santa Cruz De Tenerife
39,2023-12-31 23:00:00,10.31,Cantabria
40,2023-12-31 23:00:00,10.26,Segovia
41,2023-12-31 23:00:00,8.34,Sevilla
42,2023-12-31 23:00:00,12.74,Soria
43,2023-12-31 23:00:00,8.92,Tarragona
44,2023-12-31 23:00:00,12.98,Teruel
45,2023-12-31 23:00:00,8.19,Toledo
46,2023-12-31 23:00:00,8.72,València/Valencia
47,2023-12-31 23:00:00,9.76,Valladolid
48,2023-12-31 23:00:00,10.35,Bizkaia/Vizcaya
49,2023-12-31 23:00:00,15.39,Zamora
50,2023-12-31 23:00:00,9.77,Zaragoza
51,2023-12-31 23:00:00,6.26,Ceuta
52,2023-12-31 23:00:00,5.02,Melilla
