cod_prov,periodo,valor,provincia
02,2014-12-31 23:00:00,8.85,Albacete
02,2015-12-31 23:00:00,8.59,Albacete
02,2016-12-31 23:00:00,8.28,Albacete
02,2017-12-31 23:00:00,7.84,Albacete
02,2018-12-31 23:00:00,7.41,Albacete
02,2019-12-31 23:00:00,7.17,Albacete
02,2020-12-31 23:00:00,7.22,Albacete
02,2021-12-31 23:00:00,6.98,Albacete
02,2022-12-31 23:00:00,6.6,Albacete
02,2023-12-31 23:00:00,6.53,Albacete
03,2014-12-31 23:00:00,8.66,Alacant/Alicante
03,2015-12-31 23:00:00,8.32,Alacant/Alicante
03,2016-12-31 23:00:00,8.21,Alacant/Alicante
03,2017-12-31 23:00:00,7.69,Alacant/Alicante
03,2018-12-31 23:00:00,7.53,Alacant/Alicante
03,2019-12-31 23:00:00,7.09,Alacant/Alicante
03,2020-12-31 23:00:00,7.05,Alacant/Alicante
03,2021-12-31 23:00:00,6.87,Alacant/Alicante
03,2022-12-31 23:00:00,6.62,Alacant/Alicante
03,2023-12-31 23:00:00,6.56,Alacant/Alicante
04,2014-12-31 23:00:00,11.39,Almería
04,2015-12-31 23:00:00,11.13,Almería
04,2016-12-31 23:00:00,10.71,Almería
04,2017-12-31 23:00:00,10.47,Almería
04,2018-12-31 23:00:00,10.14,Almería
04,2019-12-31 23:00:00,9.47,Almería
04,2020-12-31 23:00:00,9.37,Almería
04,2021-12-31 23:00:00,9.13,Almería
04,2022-12-31 23:00:00,8.72,Almería
04,2023-12-31 23:00:00,8.59,Almería
05,2014-12-31 23:00:00,6.73,Ávila
05,2015-12-31 23:00:00,6.96,Ávila
05,2016-12-31 23:00:00,6.67,Ávila
05,2017-12-31 23:00:00,6.15,Ávila
05,2018-12-31 23:00:00,6.0,Ávila
05,2019-12-31 23:00:00,5.6,Ávila
05,2020-12-31 23:00:00,5.5,Ávila
05,2021-12-31 23:00:00,5.68,Ávila
05,2022-12-31 23:00:00,5.2,Ávila
05,2023-12-31 23:00:00,5.32,Ávila
06,2014-12-31 23:00:00,8.67,Badajoz
06,2015-12-31 23:00:00,8.63,Badajoz
06,2016-12-31 23:00:00,8.45,Badajoz
06,2017-12-31 23:00:00,7.73,Badajoz
06,2018-12-31 23:00:00,7.67,Badajoz
06,2019-12-31 23:00:00,7.36,Badajoz
06,2020-12-31 23:00:00,7.24,Badajoz
06,2021-12-31 23:00:00,6.83,Badajoz
06,2022-12-31 23:00:00,6.88,Badajoz
06,2023-12-31 23:00:00,6.56,Badajoz
08,2014-12-31 23:00:00,9.41,Barcelona
08,2015-12-31 23:00:00,9.24,Barcelona
08,2016-12-31 23:00:00,8.89,Barcelona
08,2017-12-31 23:00:00,8.36,Barcelona
08,2018-12-31 23:00:00,7.96,Barcelona
08,2019-12-31 23:00:00,7.47,Barcelona
08,2020-12-31 23:00:00,7.4,Barcelona
08,2021-12-31 23:00:00,7.16,Barcelona
08,2022-12-31 23:00:00,6.74,Barcelona
08,2023-12-31 23:00:00,6.59,Barcelona
09,2014-12-31 23:00:00,7.63,Burgos
09,2015-12-31 23:00:00,7.4,Burgos
09,2016-12-31 23:00:00,6.87,Burgos
09,2017-12-31 23:00:00,6.6,Burgos
09,2018-12-31 23:00:00,6.76,Burgos
09,2019-12-31 23:00:00,6.07,Burgos
09,2020-12-31 23:00:00,5.9,Burgos
09,2021-12-31 23:00:00,5.99,Burgos
09,2022-12-31 23:00:00,5.58,Burgos
09,2023-12-31 23:00:00,5.62,Burgos
10,2014-12-31 23:00:00,7.34,Cáceres
10,2015-12-31 23:00:00,7.23,Cáceres
10,2016-12-31 23:00:00,6.97,Cáceres
10,2017-12-31 23:00:00,6.6,Cáceres
10,2018-12-31 23:00:00,6.33,Cáceres
10,2019-12-31 23:00:00,6.24,Cáceres
10,2020-12-31 23:00:00,6.17,Cáceres
10,2021-12-31 23:00:00,5.81,Cáceres
10,2022-12-31 23:00:00,5.73,Cáceres
10,2023-12-31 23:00:00,5.59,Cáceres
11,2014-12-31 23:00:00,9.49,Cádiz
11,2015-12-31 23:00:00,9.5,Cádiz
11,2016-12-31 23:00:00,8.67,Cádiz
11,2017-12-31 23:00:00,8.25,Cádiz
11,2018-12-31 23:00:00,7.83,Cádiz
11,2019-12-31 23:00:00,7.31,Cádiz
11,2020-12-31 23:00:00,7.12,Cádiz
11,2021-12-31 23:00:00,6.88,Cádiz
11,2022-12-31 23:00:00,6.69,Cádiz
11,2023-12-31 23:00:00,6.34,Cádiz
12,2014-12-31 23:00:00,8.85,Castelló/Castellón
12,2015-12-31 23:00:00,8.88,Castelló/Castellón
12,2016-12-31 23:00:00,8.33,Castelló/Castellón
12,2017-12-31 23:00:00,7.94,Castelló/Castellón
12,2018-12-31 23:00:00,7.64,Castelló/Castellón
12,2019-12-31 23:00:00,7.11,Castelló/Castellón
12,2020-12-31 23:00:00,6.89,Castelló/Castellón
12,2021-12-31 23:00:00,6.99,Castelló/Castellón
