cod_prov,periodo,valor,provincia
02,2015-12-31 23:00:00,18.68,Albacete
02,2016-12-31 23:00:00,18.82,Albacete
02,2017-12-31 23:00:00,19.02,Albacete
02,2018-12-31 23:00:00,19.25,Albacete
02,2019-12-31 23:00:00,19.41,Albacete
02,2020-12-31 23:00:00,19.4,Albacete
02,2021-12-31 23:00:00,19.65,Albacete
02,2022-12-31 23:00:00,19.92,Albacete
02,2023-12-31 23:00:00,20.34,Albacete
02,2024-12-31 23:00:00,20.84,Albacete
03,2015-12-31 23:00:00,19.37,Alacant/Alicante
03,2016-12-31 23:00:00,19.57,Alacant/Alicante
03,2017-12-31 23:00:00,19.74,Alacant/Alicante
03,2018-12-31 23:00:00,19.84,Alacant/Alicante
03,2019-12-31 23:00:00,19.95,Alacant/Alicante
03,2020-12-31 23:00:00,20.19,Alacant/Alicante
03,2021-12-31 23:00:00,20.62,Alacant/Alicante
03,2022-12-31 23:00:00,20.71,Alacant/Alicante
03,2023-12-31 23:00:00,20.76,Alacant/Alicante
03,2024-12-31 23:00:00,20.96,Alacant/Alicante
04,2015-12-31 23:00:00,14.27,Almería
04,2016-12-31 23:00:00,14.51,Almería
04,2017-12-31 23:00:00,14.71,Almería
04,2018-12-31 23:00:00,14.84,Almería
04,2019-12-31 23:00:00,15.02,Almería
04,2020-12-31 23:00:00,15.23,Almería
04,2021-12-31 23:00:00,15.41,Almería
04,2022-12-31 23:00:00,15.59,Almería
04,2023-12-31 23:00:00,15.96,Almería
04,2024-12-31 23:00:00,16.31,Almería
05,2015-12-31 23:00:00,25.08,Ávila
05,2016-12-31 23:00:00,25.3,Ávila
05,2017-12-31 23:00:00,25.49,Ávila
05,2018-12-31 23:00:00,25.76,Ávila
05,2019-12-31 23:00:00,25.94,Ávila
05,2020-12-31 23:00:00,25.92,Ávila
05,2021-12-31 23:00:00,26.32,Ávila
05,2022-12-31 23:00:00,26.54,Ávila
05,2023-12-31 23:00:00,26.87,Ávila
05,2024-12-31 23:00:00,27.19,Ávila
06,2015-12-31 23:00:00,18.69,Badajoz
06,2016-12-31 23:00:00,18.94,Badajoz
06,2017-12-31 23:00:00,19.17,Badajoz
06,2018-12-31 23:00:00,19.42,Badajoz
06,2019-12-31 23:00:00,19.62,Badajoz
06,2020-12-31 23:00:00,19.82,Badajoz
06,2021-12-31 23:00:00,20.11,Badajoz
06,2022-12-31 23:00:00,20.47,Badajoz
06,2023-12-31 23:00:00,20.98,Badajoz
06,2024-12-31 23:00:00,21.52,Badajoz
08,2015-12-31 23:00:00,18.66,Barcelona
08,2016-12-31 23:00:00,18.82,Barcelona
08,2017-12-31 23:00:00,18.94,Barcelona
08,2018-12-31 23:00:00,18.98,Barcelona
08,2019-12-31 23:00:00,19.05,Barcelona
08,2020-12-31 23:00:00,19.08,Barcelona
08,2021-12-31 23:00:00,19.34,Barcelona
08,2022-12-31 23:00:00,19.38,Barcelona
08,2023-12-31 23:00:00,19.55,Barcelona
08,2024-12-31 23:00:00,19.7,Barcelona
09,2015-12-31 23:00:00,22.69,Burgos
09,2016-12-31 23:00:00,23.05,Burgos
09,2017-12-31 23:00:00,23.37,Burgos
09,2018-12-31 23:00:00,23.72,Burgos
09,2019-12-31 23:00:00,24.01,Burgos
09,2020-12-31 23:00:00,24.17,Burgos
09,2021-12-31 23:00:00,24.66,Burgos
09,2022-12-31 23:00:00,24.97,Burgos
09,2023-12-31 23:00:00,25.31,Burgos
09,2024-12-31 23:00:00,25.61,Burgos
10,2015-12-31 23:00:00,21.98,Cáceres
10,2016-12-31 23:00:00,22.21,Cáceres
10,2017-12-31 23:00:00,22.5,Cáceres
10,2018-12-31 23:00:00,22.85,Cáceres
10,2019-12-31 23:00:00,23.19,Cáceres
10,2020-12-31 23:00:00,23.38,Cáceres
10,2021-12-31 23:00:00,23.76,Cáceres
10,2022-12-31 23:00:00,24.19,Cáceres
10,2023-12-31 23:00:00,24.75,Cáceres
10,2024-12-31 23:00:00,25.36,Cáceres
11,2015-12-31 23:00:00,15.32,Cádiz
11,2016-12-31 23:00:00,15.67,Cádiz
11,2017-12-31 23:00:00,16.08,Cádiz
11,2018-12-31 23:00:00,16.46,Cádiz
11,2019-12-31 23:00:00,16.81,Cádiz
11,2020-12-31 23:00:00,17.19,Cádiz
11,2021-12-31 23:00:00,17.58,Cádiz
11,2022-12-31 23:00:00,18.08,Cádiz
11,2023-12-31 23:00:00,18.64,Cádiz
11,2024-12-31 23:00:00,19.24,Cádiz
12,2015-12-31 23:00:00,18.37,Castelló/Castellón
12,2016-12-31 23:00:00,18.67,Castelló/Castellón
12,2017-12-31 23:00:00,18.99,Castelló/Castellón
12,2018-12-31 23:00:00,19.18,Castelló/Castellón
12,2019-12-31 23:00:00,19.37,Castelló/Castellón
12,2020-12-31 23:00:00,19.62,Castelló/Castellón
12,2021-12-31 23:00:00,19.82,Castelló/Castellón
12,2022-12-31 23:00:00,19.9,Castelló/Castellón
12,2023-12-31 23:00:00,20.11,Castelló/Castellón
12,2024-12-31 23:00:00,20.33,Castelló/Castellón
13,2015-12-31 23:00:00,19.38,Ciudad Real
13,2016-12-31 23:00:00,19.57,Ciudad Real
13,2017-12-31 23:00:00,19.88,Ciudad Real
13,2018-12-31 23:00:00,20.19,Ciudad Real
13,2019-12-31 23:00:00,20.33,Ciudad Real
13,2020-12-31 23:00:00,20.28,Ciudad Real
13,2021-12-31 23:00:00,20.57,Ciudad Real
13,2022-12-31 23:00:00,20.92,Ciudad Real
13,2023-12-31 23:00:00,21.35,Ciudad Real
13,2024-12-31 23:00:00,21.82,Ciudad Real
14,2015-12-31 23:00:00,18.45,Córdoba
14,2016-12-31 23:00:00,18.63,Córdoba
14,2017-12-31 23:00:00,18.89,Córdoba
14,2018-12-31 23:00:00,19.22,Córdoba
14,2019-12-31 23:00:00,19.48,Córdoba
14,2020-12-31 23:00:00,19.79,Córdoba
14,2021-12-31 23:00:00,20.14,Córdoba
14,2022-12-31 23:00:00,20.51,Córdoba
14,2023-12-31 23:00:00,21.02,Córdoba
14,2024-12-31 23:00:00,21.59,Córdoba
16,2015-12-31 23:00:00,22.93,Cuenca
16,2016-12-31 23:00:00,22.99,Cuenca
16,2017-12-31 23:00:00,23.09,Cuenca
16,2018-12-31 23:00:00,23.13,Cuenca
16,2019-12-31 23:00:00,23.04,Cuenca
16,2020-12-31 23:00:00,22.85,Cuenca
16,2021-12-31 23:00:00,22.97,Cuenca
16,2022-12-31 23:00:00,23.02,Cuenca
16,2023-12-31 23:00:00,23.29,Cuenca
16,2024-12-31 23:00:00,23.6,Cuenca
17,2015-12-31 23:00:00,17.41,Girona
17,2016-12-31 23:00:00,17.64,Girona
17,2017-12-31 23:00:00,17.83,Girona
17,2018-12-31 23:00:00,17.93,Girona
17,2019-12-31 23:00:00,18.06,Girona
17,2020-12-31 23:00:00,18.26,Girona
17,2021-12-31 23:00:00,18.56,Girona
17,2022-12-31 23:00:00,18.65,Girona
17,2023-12-31 23:00:00,18.88,Girona
17,2024-12-31 23:00:00,19.18,Girona
18,2015-12-31 23:00:00,17.18,Granada
18,2016-12-31 23:00:00,17.39,Granada
18,2017-12-31 23:00:00,17.62,Granada
18,2018-12-31 23:00:00,17.86,Granada
18,2019-12-31 23:00:00,18.07,Granada
18,2020-12-31 23:00:00,18.23,Granada
18,2021-12-31 23:00:00,18.59,Granada
18,2022-12-31 23:00:00,18.97,Granada
18,2023-12-31 23:00:00,19.46,Granada
18,2024-12-31 23:00:00,19.95,Granada
19,2015-12-31 23:00:00,15.58,Guadalajara
19,2016-12-31 23:00:00,15.66,Guadalajara
19,2017-12-31 23:00:00,15.83,Guadalajara
19,2018-12-31 23:00:00,15.95,Guadalajara
19,2019-12-31 23:00:00,16.1,Guadalajara
19,2020-12-31 23:00:00,16.1,Guadalajara
19,2021-12-31 23:00:00,16.37,Guadalajara
19,2022-12-31 23:00:00,16.49,Guadalajara
19,2023-12-31 23:00:00,16.76,Guadalajara
19,2024-12-31 23:00:00,16.98,Guadalajara
21,2015-12-31 23:00:00,15.94,Huelva
21,2016-12-31 23:00:00,16.18,Huelva
21,2017-12-31 23:00:00,16.42,Huelva
21,2018-12-31 23:00:00,16.62,Huelva
21,2019-12-31 23:00:00,16.82,Huelva
21,2020-12-31 23:00:00,17.12,Huelva
21,2021-12-31 23:00:00,17.3,Huelva
21,2022-12-31 23:00:00,17.63,Huelva
21,2023-12-31 23:00:00,18.07,Huelva
21,2024-12-31 23:00:00,18.46,Huelva
22,2015-12-31 23:00:00,22.03,Huesca
22,2016-12-31 23:00:00,22.12,Huesca
22,2017-12-31 23:00:00,22.25,Huesca
22,2018-12-31 23:00:00,22.37,Huesca
22,2019-12-31 23:00:00,22.41,Huesca
22,2020-12-31 23:00:00,22.43,Huesca
22,2021-12-31 23:00:00,22.63,Huesca
22,2022-12-31 23:00:00,22.74,Huesca
22,2023-12-31 23:00:00,22.97,Huesca
22,2024-12-31 23:00:00,23.25,Huesca
23,2015-12-31 23:00:00,18.53,Jaén
23,2016-12-31 23:00:00,18.65,Jaén
23,2017-12-31 23:00:00,18.91,Jaén
23,2018-12-31 23:00:00,19.19,Jaén
23,2019-12-31 23:00:00,19.43,Jaén
23,2020-12-31 23:00:00,19.62,Jaén
23,2021-12-31 23:00:00,20.0,Jaén
23,2022-12-31 23:00:00,20.4,Jaén
23,2023-12-31 23:00:00,20.94,Jaén
23,2024-12-31 23:00:00,21.49,Jaén
24,2015-12-31 23:00:00,26.01,León
24,2016-12-31 23:00:00,26.31,León
24,2017-12-31 23:00:00,26.67,León
24,2018-12-31 23:00:00,26.99,León
24,2019-12-31 23:00:00,27.37,León
24,2020-12-31 23:00:00,27.57,León
24,2021-12-31 23:00:00,28.08,León
24,2022-12-31 23:00:00,28.47,León
24,2023-12-31 23:00:00,28.97,León
24,2024-12-31 23:00:00,29.41,León
25,2015-12-31 23:00:00,18.97,Lleida
25,2016-12-31 23:00:00,19.11,Lleida
25,2017-12-31 23:00:00,19.29,Lleida
25,2018-12-31 23:00:00,19.4,Lleida
25,2019-12-31 23:00:00,19.45,Lleida
25,2020-12-31 23:00:00,19.49,Lleida
25,2021-12-31 23:00:00,19.66,Lleida
25,2022-12-31 23:00:00,19.71,Lleida
25,2023-12-31 23:00:00,19.93,Lleida
25,2024-12-31 23:00:00,20.11,Lleida
27,2015-12-31 23:00:00,28.75,Lugo
27,2016-12-31 23:00:00,28.82,Lugo
27,2017-12-31 23:00:00,28.94,Lugo
27,2018-12-31 23:00:00,29.15,Lugo
27,2019-12-31 23:00:00,29.37,Lugo
27,2020-12-31 23:00:00,29.6,Lugo
27,2021-12-31 23:00:00,29.9,Lugo
27,2022-12-31 23:00:00,30.0,Lugo
27,2023-12-31 23:00:00,30.1,Lugo
27,2024-12-31 23:00:00,30.25,Lugo
28,2015-12-31 23:00:00,17.18,Madrid
28,2016-12-31 23:00:00,17.43,Madrid
28,2017-12-31 23:00:00,17.65,Madrid
28,2018-12-31 23:00:00,17.81,Madrid
28,2019-12-31 23:00:00,17.92,Madrid
28,2020-12-31 23:00:00,18.0,Madrid
28,2021-12-31 23:00:00,18.32,Madrid
28,2022-12-31 23:00:00,18.43,Madrid
28,2023-12-31 23:00:00,18.62,Madrid
28,2024-12-31 23:00:00,18.87,Madrid
29,2015-12-31 23:00:00,16.74,Málaga
29,2016-12-31 23:00:00,16.95,Málaga
29,2017-12-31 23:00:00,17.13,Málaga
29,2018-12-31 23:00:00,17.29,Málaga
29,2019-12-31 23:00:00,17.52,Málaga
29,2020-12-31 23:00:00,17.79,Málaga
29,2021-12-31 23:00:00,18.16,Málaga
29,2022-12-31 23:00:00,18.35,Málaga
29,2023-12-31 23:00:00,18.62,Málaga
29,2024-12-31 23:00:00,18.96,Málaga
30,2015-12-31 23:00:00,15.29,Murcia
30,2016-12-31 23:00:00,15.47,Murcia
30,2017-12-31 23:00:00,15.54,Murcia
30,2018-12-31 23:00:00,15.7,Murcia
30,2019-12-31 23:00:00,15.8,Murcia
30,2020-12-31 23:00:00,15.99,Murcia
