cod_prov,periodo,valor,provincia
02,2024-12-31 23:00:00,20.84,Albacete
03,2024-12-31 23:00:00,20.96,Alacant/Alicante
04,2024-12-31 23:00:00,16.31,Almería
05,2024-12-31 23:00:00,27.19,Ávila
06,2024-12-31 23:00:00,21.52,Badajoz
08,2024-12-31 23:00:00,19.7,Barcelona
09,2024-12-31 23:00:00,25.61,Burgos
10,2024-12-31 23:00:00,25.36,Cáceres
11,2024-12-31 23:00:00,19.24,Cádiz
12,2024-12-31 23:00:00,20.33,Castelló/Castellón
13,2024-12-31 23:00:00,21.82,Ciudad Real
14,2024-12-31 23:00:00,21.59,Córdoba
16,2024-12-31 23:00:00,23.6,Cuenca
17,2024-12-31 23:00:00,19.18,Girona
18,2024-12-31 23:00:00,19.95,Granada
19,2024-12-31 23:00:00,16.98,Guadalajara
21,2024-12-31 23:00:00,18.46,Huelva
22,2024-12-31 23:00:00,23.25,Huesca
23,2024-12-31 23:00:00,21.49,Jaén
24,2024-12-31 23:00:00,29.41,León
25,2024-12-31 23:00:00,20.11,Lleida
27,2024-12-31 23:00:00,30.25,Lugo
28,2024-12-31 23:00:00,18.87,Madrid
29,2024-12-31 23:00:00,18.96,Málaga
30,2024-12-31 23:00:00,17.03,Murcia
31,2024-12-31 23:00:00,20.99,Navarra
32,2024-12-31 23:00:00,32.26,Ourense
33,2024-12-31 23:00:00,28.36,Asturias
34,2024-12-31 23:00:00,28.19,Palencia
36,2024-12-31 23:00:00,24.72,Pontevedra
37,2024-12-31 23:00:00,28.38,Salamanca
38,2024-12-31 23:00:00,19.05,Santa Cruz De Tenerife
39,2024-12-31 23:00:00,24.52,Cantabria
40,2024-12-31 23:00:00,23.8,Segovia
41,2024-12-31 23:00:00,18.39,Sevilla
42,2024-12-31 23:00:00,26.04,Soria
43,2024-12-31 23:00:00,20.13,Tarragona
44,2024-12-31 23:00:00,24.65,Teruel
45,2024-12-31 23:00:00,18.78,Toledo
46,2024-12-31 23:00:00,19.99,València/Valencia
47,2024-12-31 23:00:00,25.14,Valladolid
49,2024-12-31 23:00:00,32.67,Zamora
50,2024-12-31 23:00:00,22.17,Zaragoza
51,2024-12-31 23:00:00,13.69,Ceuta
52,2024-12-31 23:00:00,12.68,Melilla
