cod_prov,periodo,valor,provincia
01,2020-12-31 23:00:00,2.68,Araba/Álava
01,2021-12-31 23:00:00,10.69,Araba/Álava
01,2022-12-31 23:00:00,8.86,Araba/Álava
01,2023-12-31 23:00:00,11.37,Araba/Álava
02,2020-12-31 23:00:00,2.08,Albacete
02,2021-12-31 23:00:00,9.55,Albacete
02,2022-12-31 23:00:00,8.27,Albacete
02,2023-12-31 23:00:00,8.59,Albacete
03,2020-12-31 23:00:00,11.41,Alacant/Alicante
03,2021-12-31 23:00:00,26.29,Alacant/Alicante
03,2022-12-31 23:00:00,19.69,Alacant/Alicante
03,2023-12-31 23:00:00,20.33,Alacant/Alicante
04,2020-12-31 23:00:00,8.8,Almería
04,2021-12-31 23:00:00,16.64,Almería
04,2022-12-31 23:00:00,9.36,Almería
04,2023-12-31 23:00:00,12.9,Almería
05,2020-12-31 23:00:00,5.53,Ávila
05,2021-12-31 23:00:00,14.67,Ávila
05,2022-12-31 23:00:00,13.87,Ávila
05,2023-12-31 23:00:00,12.31,Ávila
06,2020-12-31 23:00:00,0.36,Badajoz
06,2021-12-31 23:00:00,4.17,Badajoz
06,2022-12-31 23:00:00,4.45,Badajoz
06,2023-12-31 23:00:00,3.73,Badajoz
07,2020-12-31 23:00:00,3.15,Illes Balears
07,2021-12-31 23:00:00,17.31,Illes Balears
07,2022-12-31 23:00:00,15.46,Illes Balears
07,2023-12-31 23:00:00,12.68,Illes Balears
08,2020-12-31 23:00:00,3.29,Barcelona
08,2021-12-31 23:00:00,20.42,Barcelona
08,2022-12-31 23:00:00,16.64,Barcelona
08,2023-12-31 23:00:00,17.02,Barcelona
09,2020-12-31 23:00:00,2.25,Burgos
09,2021-12-31 23:00:00,12.78,Burgos
09,2022-12-31 23:00:00,11.14,Burgos
09,2023-12-31 23:00:00,11.92,Burgos
10,2020-12-31 23:00:00,2.25,Cáceres
10,2021-12-31 23:00:00,6.92,Cáceres
10,2022-12-31 23:00:00,7.13,Cáceres
10,2023-12-31 23:00:00,6.73,Cáceres
11,2020-12-31 23:00:00,1.99,Cádiz
11,2021-12-31 23:00:00,6.17,Cádiz
11,2022-12-31 23:00:00,4.82,Cádiz
11,2023-12-31 23:00:00,5.5,Cádiz
12,2020-12-31 23:00:00,3.88,Castelló/Castellón
12,2021-12-31 23:00:00,18.66,Castelló/Castellón
12,2022-12-31 23:00:00,16.0,Castelló/Castellón
12,2023-12-31 23:00:00,17.26,Castelló/Castellón
13,2020-12-31 23:00:00,1.78,Ciudad Real
13,2021-12-31 23:00:00,8.98,Ciudad Real
13,2022-12-31 23:00:00,6.98,Ciudad Real
13,2023-12-31 23:00:00,8.57,Ciudad Real
14,2020-12-31 23:00:00,1.55,Córdoba
14,2021-12-31 23:00:00,4.73,Córdoba
14,2022-12-31 23:00:00,3.99,Córdoba
14,2023-12-31 23:00:00,3.92,Córdoba
15,2020-12-31 23:00:00,3.97,A Coruña
15,2021-12-31 23:00:00,10.21,A Coruña
15,2022-12-31 23:00:00,8.96,A Coruña
15,2023-12-31 23:00:00,11.56,A Coruña
16,2020-12-31 23:00:00,5.22,Cuenca
16,2021-12-31 23:00:00,15.61,Cuenca
16,2022-12-31 23:00:00,12.75,Cuenca
16,2023-12-31 23:00:00,12.72,Cuenca
17,2020-12-31 23:00:00,3.37,Girona
17,2021-12-31 23:00:00,21.57,Girona
17,2022-12-31 23:00:00,14.44,Girona
17,2023-12-31 23:00:00,11.21,Girona
18,2020-12-31 23:00:00,2.67,Granada
18,2021-12-31 23:00:00,9.11,Granada
18,2022-12-31 23:00:00,7.25,Granada
18,2023-12-31 23:00:00,7.92,Granada
19,2020-12-31 23:00:00,3.62,Guadalajara
19,2021-12-31 23:00:00,18.1,Guadalajara
19,2022-12-31 23:00:00,13.95,Guadalajara
19,2023-12-31 23:00:00,15.31,Guadalajara
20,2020-12-31 23:00:00,1.27,Gipuzkoa/Guipúzcoa
20,2021-12-31 23:00:00,10.01,Gipuzkoa/Guipúzcoa
20,2022-12-31 23:00:00,8.51,Gipuzkoa/Guipúzcoa
20,2023-12-31 23:00:00,9.59,Gipuzkoa/Guipúzcoa
21,2020-12-31 23:00:00,6.73,Huelva
21,2021-12-31 23:00:00,7.77,Huelva
21,2022-12-31 23:00:00,6.15,Huelva
21,2023-12-31 23:00:00,8.44,Huelva
22,2020-12-31 23:00:00,5.0,Huesca
22,2021-12-31 23:00:00,14.09,Huesca
22,2022-12-31 23:00:00,11.24,Huesca
22,2023-12-31 23:00:00,11.93,Huesca
23,2020-12-31 23:00:00,1.97,Jaén
23,2021-12-31 23:00:00,4.89,Jaén
23,2022-12-31 23:00:00,5.35,Jaén
23,2023-12-31 23:00:00,6.3,Jaén
24,2020-12-31 23:00:00,1.69,León
24,2021-12-31 23:00:00,7.64,León
24,2022-12-31 23:00:00,5.82,León
24,2023-12-31 23:00:00,9.3,León
25,2020-12-31 23:00:00,3.04,Lleida
25,2021-12-31 23:00:00,16.93,Lleida
25,2022-12-31 23:00:00,12.82,Lleida
25,2023-12-31 23:00:00,16.29,Lleida
26,2020-12-31 23:00:00,4.53,La Rioja
26,2021-12-31 23:00:00,11.64,La Rioja
26,2022-12-31 23:00:00,8.6,La Rioja
26,2023-12-31 23:00:00,9.21,La Rioja
27,2020-12-31 23:00:00,3.6,Lugo
27,2021-12-31 23:00:00,10.85,Lugo
27,2022-12-31 23:00:00,11.7,Lugo
27,2023-12-31 23:00:00,13.08,Lugo
28,2020-12-31 23:00:00,4.87,Madrid
28,2021-12-31 23:00:00,19.92,Madrid
28,2022-12-31 23:00:00,21.68,Madrid
28,2023-12-31 23:00:00,16.14,Madrid
29,2020-12-31 23:00:00,8.16,Málaga
29,2021-12-31 23:00:00,20.78,Málaga
29,2022-12-31 23:00:00,12.62,Málaga
29,2023-12-31 23:00:00,11.82,Málaga
30,2020-12-31 23:00:00,5.54,Murcia
30,2021-12-31 23:00:00,15.13,Murcia
30,2022-12-31 23:00:00,11.42,Murcia
30,2023-12-31 23:00:00,11.85,Murcia
31,2020-12-31 23:00:00,4.12,Navarra
31,2021-12-31 23:00:00,13.74,Navarra
31,2022-12-31 23:00:00,11.14,Navarra
31,2023-12-31 23:00:00,10.67,Navarra
32,2020-12-31 23:00:00,5.41,Ourense
32,2021-12-31 23:00:00,12.92,Ourense
32,2022-12-31 23:00:00,9.36,Ourense
32,2023-12-31 23:00:00,12.66,Ourense
33,2020-12-31 23:00:00,1.3,Asturias
33,2021-12-31 23:00:00,9.08,Asturias
33,2022-12-31 23:00:00,9.1,Asturias
33,2023-12-31 23:00:00,10.21,Asturias
34,2020-12-31 23:00:00,2.41,Palencia
34,2021-12-31 23:00:00,9.9,Palencia
34,2022-12-31 23:00:00,9.36,Palencia
34,2023-12-31 23:00:00,11.71,Palencia
35,2020-12-31 23:00:00,4.33,Las Palmas
35,2021-12-31 23:00:00,12.57,Las Palmas
35,2022-12-31 23:00:00,12.82,Las Palmas
35,2023-12-31 23:00:00,12.55,Las Palmas
36,2020-12-31 23:00:00,2.56,Pontevedra
36,2021-12-31 23:00:00,7.36,Pontevedra
36,2022-12-31 23:00:00,6.96,Pontevedra
36,2023-12-31 23:00:00,6.88,Pontevedra
37,2020-12-31 23:00:00,4.24,Salamanca
37,2021-12-31 23:00:00,10.59,Salamanca
37,2022-12-31 23:00:00,8.37,Salamanca
37,2023-12-31 23:00:00,8.93,Salamanca
38,2020-12-31 23:00:00,6.23,Santa Cruz De Tenerife
38,2021-12-31 23:00:00,16.63,Santa Cruz De Tenerife
38,2022-12-31 23:00:00,13.4,Santa Cruz De Tenerife
38,2023-12-31 23:00:00,11.73,Santa Cruz De Tenerife
39,2020-12-31 23:00:00,3.74,Cantabria
39,2021-12-31 23:00:00,10.79,Cantabria
39,2022-12-31 23:00:00,8.5,Cantabria
39,2023-12-31 23:00:00,8.53,Cantabria
40,2020-12-31 23:00:00,3.56,Segovia
40,2021-12-31 23:00:00,15.26,Segovia
40,2022-12-31 23:00:00,13.23,Segovia
40,2023-12-31 23:00:00,13.83,Segovia
41,2020-12-31 23:00:00,0.58,Sevilla
41,2021-12-31 23:00:00,5.9,Sevilla
41,2022-12-31 23:00:00,5.63,Sevilla
41,2023-12-31 23:00:00,5.56,Sevilla
42,2020-12-31 23:00:00,4.54,Soria
42,2021-12-31 23:00:00,21.97,Soria
42,2022-12-31 23:00:00,16.31,Soria
42,2023-12-31 23:00:00,15.47,Soria
43,2020-12-31 23:00:00,3.56,Tarragona
43,2021-12-31 23:00:00,19.52,Tarragona
43,2022-12-31 23:00:00,14.2,Tarragona
43,2023-12-31 23:00:00,13.41,Tarragona
44,2020-12-31 23:00:00,3.67,Teruel
44,2021-12-31 23:00:00,12.95,Teruel
44,2022-12-31 23:00:00,9.98,Teruel
44,2023-12-31 23:00:00,14.1,Teruel
45,2020-12-31 23:00:00,3.86,Toledo
45,2021-12-31 23:00:00,15.79,Toledo
45,2022-12-31 23:00:00,13.3,Toledo
45,2023-12-31 23:00:00,12.5,Toledo
46,2020-12-31 23:00:00,6.87,València/Valencia
46,2021-12-31 23:00:00,19.55,València/Valencia
46,2022-12-31 23:00:00,20.0,València/Valencia
46,2023-12-31 23:00:00,19.4,València/Valencia
47,2020-12-31 23:00:00,2.14,Valladolid
47,2021-12-31 23:00:00,9.48,Valladolid
47,2022-12-31 23:00:00,8.5,Valladolid
47,2023-12-31 23:00:00,8.05,Valladolid
48,2020-12-31 23:00:00,1.47,Bizkaia/Vizcaya
48,2021-12-31 23:00:00,10.34,Bizkaia/Vizcaya
48,2022-12-31 23:00:00,9.33,Bizkaia/Vizcaya
48,2023-12-31 23:00:00,10.78,Bizkaia/Vizcaya
49,2020-12-31 23:00:00,2.38,Zamora
49,2021-12-31 23:00:00,8.12,Zamora
49,2022-12-31 23:00:00,8.4,Zamora
49,2023-12-31 23:00:00,7.68,Zamora
50,2020-12-31 23:00:00,-1.38,Zaragoza
50,2021-12-31 23:00:00,14.69,Zaragoza
50,2022-12-31 23:00:00,10.42,Zaragoza
50,2023-12-31 23:00:00,12.48,Zaragoza
51,2020-12-31 23:00:00,1.5,Ceuta
51,2021-12-31 23:00:00,5.04,Ceuta
51,2022-12-31 23:00:00,4.43,Ceuta
51,2023-12-31 23:00:00,4.99,Ceuta
52,2020-12-31 23:00:00,-9.09,Melilla
52,2021-12-31 23:00:00,9.36,Melilla
52,2022-12-31 23:00:00,6.69,Melilla
52,2023-12-31 23:00:00,16.87,Melilla
