cod_prov,periodo,valor,provincia
01,2020-07-31 22:00:00,332.0,Araba/Álava
01,2021-01-31 23:00:00,300.0,Araba/Álava
01,2021-07-31 22:00:00,328.0,Araba/Álava
01,2022-01-31 23:00:00,279.0,Araba/Álava
01,2022-07-31 22:00:00,325.0,Araba/Álava
01,2023-01-31 23:00:00,332.0,Araba/Álava
01,2023-07-31 22:00:00,320.0,Araba/Álava
01,2024-01-31 23:00:00,346.0,Araba/Álava
01,2024-07-31 22:00:00,407.0,Araba/Álava
01,2024-10-31 23:00:00,389.0,Araba/Álava
01,2025-04-30 22:00:00,368.0,Araba/Álava
01,2025-10-31 23:00:00,255.0,Araba/Álava
02,2020-07-31 22:00:00,587.0,Albacete
02,2021-01-31 23:00:00,602.0,Albacete
02,2021-07-31 22:00:00,626.0,Albacete
02,2022-01-31 23:00:00,653.0,Albacete
02,2022-07-31 22:00:00,722.0,Albacete
02,2023-01-31 23:00:00,808.0,Albacete
02,2023-07-31 22:00:00,882.0,Albacete
02,2024-01-31 23:00:00,955.0,Albacete
02,2024-07-31 22:00:00,1088.0,Albacete
02,2024-10-31 23:00:00,1096.0,Albacete
02,2025-04-30 22:00:00,1112.0,Albacete
02,2025-10-31 23:00:00,952.0,Albacete
03,2020-07-31 22:00:00,35716.0,Alacant/Alicante
03,2021-01-31 23:00:00,33391.0,Alacant/Alicante
03,2021-07-31 22:00:00,33776.0,Alacant/Alicante
03,2022-01-31 23:00:00,31946.0,Alacant/Alicante
03,2022-07-31 22:00:00,34061.0,Alacant/Alicante
03,2023-01-31 23:00:00,33115.0,Alacant/Alicante
03,2023-07-31 22:00:00,37962.0,Alacant/Alicante
03,2024-01-31 23:00:00,38007.0,Alacant/Alicante
03,2024-07-31 22:00:00,44589.0,Alacant/Alicante
03,2024-10-31 23:00:00,41179.0,Alacant/Alicante
03,2025-04-30 22:00:00,40273.0,Alacant/Alicante
03,2025-10-31 23:00:00,29697.0,Alacant/Alicante
04,2020-07-31 22:00:00,4811.0,Almería
04,2021-01-31 23:00:00,4466.0,Almería
04,2021-07-31 22:00:00,4855.0,Almería
04,2022-01-31 23:00:00,4451.0,Almería
04,2022-07-31 22:00:00,5338.0,Almería
04,2023-01-31 23:00:00,5148.0,Almería
04,2023-07-31 22:00:00,6460.0,Almería
04,2024-01-31 23:00:00,6329.0,Almería
04,2024-07-31 22:00:00,7198.0,Almería
04,2024-10-31 23:00:00,6890.0,Almería
04,2025-04-30 22:00:00,7266.0,Almería
04,2025-10-31 23:00:00,6368.0,Almería
05,2020-07-31 22:00:00,799.0,Ávila
05,2021-01-31 23:00:00,786.0,Ávila
05,2021-07-31 22:00:00,847.0,Ávila
05,2022-01-31 23:00:00,852.0,Ávila
05,2022-07-31 22:00:00,992.0,Ávila
05,2023-01-31 23:00:00,1016.0,Ávila
05,2023-07-31 22:00:00,1121.0,Ávila
05,2024-01-31 23:00:00,1126.0,Ávila
05,2024-07-31 22:00:00,1363.0,Ávila
05,2024-10-31 23:00:00,1328.0,Ávila
05,2025-04-30 22:00:00,1327.0,Ávila
05,2025-10-31 23:00:00,1190.0,Ávila
06,2020-07-31 22:00:00,384.0,Badajoz
06,2021-01-31 23:00:00,330.0,Badajoz
06,2021-07-31 22:00:00,326.0,Badajoz
06,2022-01-31 23:00:00,338.0,Badajoz
06,2022-07-31 22:00:00,430.0,Badajoz
06,2023-01-31 23:00:00,462.0,Badajoz
06,2023-07-31 22:00:00,493.0,Badajoz
06,2024-01-31 23:00:00,550.0,Badajoz
06,2024-07-31 22:00:00,657.0,Badajoz
06,2024-10-31 23:00:00,661.0,Badajoz
06,2025-04-30 22:00:00,657.0,Badajoz
06,2025-10-31 23:00:00,679.0,Badajoz
07,2020-07-31 22:00:00,29237.0,Illes Balears
07,2020-07-31 22:00:00,29237.0,Illes Balears
07,2021-01-31 23:00:00,27703.0,Illes Balears
07,2021-01-31 23:00:00,27703.0,Illes Balears
07,2021-07-31 22:00:00,29211.0,Illes Balears
07,2021-07-31 22:00:00,29211.0,Illes Balears
07,2022-01-31 23:00:00,26458.0,Illes Balears
07,2022-01-31 23:00:00,26458.0,Illes Balears
07,2022-07-31 22:00:00,27038.0,Illes Balears
07,2022-07-31 22:00:00,27038.0,Illes Balears
07,2023-01-31 23:00:00,25393.0,Illes Balears
07,2023-01-31 23:00:00,25393.0,Illes Balears
07,2023-07-31 22:00:00,26507.0,Illes Balears
07,2023-07-31 22:00:00,26507.0,Illes Balears
07,2024-01-31 23:00:00,25073.0,Illes Balears
07,2024-01-31 23:00:00,25073.0,Illes Balears
07,2024-07-31 22:00:00,26979.0,Illes Balears
07,2024-07-31 22:00:00,26979.0,Illes Balears
07,2024-10-31 23:00:00,24190.0,Illes Balears
07,2024-10-31 23:00:00,24190.0,Illes Balears
07,2025-04-30 22:00:00,24361.0,Illes Balears
07,2025-04-30 22:00:00,24361.0,Illes Balears
07,2025-10-31 23:00:00,19398.0,Illes Balears
07,2025-10-31 23:00:00,19398.0,Illes Balears
08,2020-07-31 22:00:00,25956.0,Barcelona
08,2021-01-31 23:00:00,22635.0,Barcelona
08,2021-07-31 22:00:00,20763.0,Barcelona
08,2022-01-31 23:00:00,18953.0,Barcelona
