cod_prov,periodo,valor,provincia
01,2025-10-31 23:00:00,255.0,Araba/Álava
02,2025-10-31 23:00:00,952.0,Albacete
03,2025-10-31 23:00:00,29697.0,Alacant/Alicante
04,2025-10-31 23:00:00,6368.0,Almería
05,2025-10-31 23:00:00,1190.0,Ávila
06,2025-10-31 23:00:00,679.0,Badajoz
07,2025-10-31 23:00:00,19398.0,Illes Balears
08,2025-10-31 23:00:00,15741.0,Barcelona
09,2025-10-31 23:00:00,877.0,Burgos
10,2025-10-31 23:00:00,1435.0,Cáceres
11,2025-10-31 23:00:00,14751.0,Cádiz
12,2025-10-31 23:00:00,6206.0,Castelló/Castellón
13,2025-10-31 23:00:00,652.0,Ciudad Real
14,2025-10-31 23:00:00,2831.0,Córdoba
15,2025-10-31 23:00:00,5216.0,A Coruña
16,2025-10-31 23:00:00,872.0,Cuenca
17,2025-10-31 23:00:00,17754.0,Girona
18,2025-10-31 23:00:00,7537.0,Granada
19,2025-10-31 23:00:00,530.0,Guadalajara
20,2025-10-31 23:00:00,1982.0,Gipuzkoa/Guipúzcoa
21,2025-10-31 23:00:00,2439.0,Huelva
22,2025-10-31 23:00:00,1996.0,Huesca
23,2025-10-31 23:00:00,1089.0,Jaén
24,2025-10-31 23:00:00,1242.0,León
25,2025-10-31 23:00:00,2670.0,Lleida
26,2025-10-31 23:00:00,1332.0,La Rioja
27,2025-10-31 23:00:00,2355.0,Lugo
28,2025-10-31 23:00:00,15309.0,Madrid
29,2025-10-31 23:00:00,48261.0,Málaga
30,2025-10-31 23:00:00,5621.0,Murcia
31,2025-10-31 23:00:00,1463.0,Navarra
32,2025-10-31 23:00:00,981.0,Ourense
33,2025-10-31 23:00:00,6043.0,Asturias
34,2025-10-31 23:00:00,203.0,Palencia
35,2025-10-31 23:00:00,27336.0,Las Palmas
36,2025-10-31 23:00:00,6684.0,Pontevedra
37,2025-10-31 23:00:00,1207.0,Salamanca
38,2025-10-31 23:00:00,22340.0,Santa Cruz De Tenerife
39,2025-10-31 23:00:00,6229.0,Cantabria
40,2025-10-31 23:00:00,810.0,Segovia
41,2025-10-31 23:00:00,8481.0,Sevilla
42,2025-10-31 23:00:00,521.0,Soria
43,2025-10-31 23:00:00,10750.0,Tarragona
44,2025-10-31 23:00:00,698.0,Teruel
45,2025-10-31 23:00:00,1545.0,Toledo
46,2025-10-31 23:00:00,12538.0,València/Valencia
47,2025-10-31 23:00:00,506.0,Valladolid
48,2025-10-31 23:00:00,2546.0,Bizkaia/Vizcaya
49,2025-10-31 23:00:00,479.0,Zamora
50,2025-10-31 23:00:00,1091.0,Zaragoza
51,2025-10-31 23:00:00,46.0,Ceuta
52,2025-10-31 23:00:00,30.0,Melilla
