cod_prov,periodo,valor,provincia
01,2023-12-31 23:00:00,9.89,Araba/Álava
02,2023-12-31 23:00:00,4.31,Albacete
03,2023-12-31 23:00:00,20.0,Alacant/Alicante
04,2023-12-31 23:00:00,12.52,Almería
05,2023-12-31 23:00:00,1.71,Ávila
06,2023-12-31 23:00:00,-1.31,Badajoz
07,2023-12-31 23:00:00,14.57,Illes Balears
08,2023-12-31 23:00:00,13.9,Barcelona
09,2023-12-31 23:00:00,8.09,Burgos
10,2023-12-31 23:00:00,-1.19,Cáceres
11,2023-12-31 23:00:00,2.13,Cádiz
12,2023-12-31 23:00:00,20.01,Castelló/Castellón
13,2023-12-31 23:00:00,3.85,Ciudad Real
14,2023-12-31 23:00:00,-1.49,Córdoba
15,2023-12-31 23:00:00,6.34,A Coruña
16,2023-12-31 23:00:00,4.18,Cuenca
17,2023-12-31 23:00:00,11.29,Girona
18,2023-12-31 23:00:00,6.42,Granada
19,2023-12-31 23:00:00,19.84,Guadalajara
20,2023-12-31 23:00:00,4.69,Gipuzkoa/Guipúzcoa
21,2023-12-31 23:00:00,5.69,Huelva
22,2023-12-31 23:00:00,6.84,Huesca
23,2023-12-31 23:00:00,-1.47,Jaén
24,2023-12-31 23:00:00,0.51,León
25,2023-12-31 23:00:00,14.33,Lleida
26,2023-12-31 23:00:00,8.05,La Rioja
27,2023-12-31 23:00:00,2.99,Lugo
28,2023-12-31 23:00:00,14.82,Madrid
29,2023-12-31 23:00:00,9.24,Málaga
30,2023-12-31 23:00:00,11.72,Murcia
31,2023-12-31 23:00:00,8.11,Navarra
32,2023-12-31 23:00:00,2.66,Ourense
33,2023-12-31 23:00:00,5.46,Asturias
34,2023-12-31 23:00:00,4.03,Palencia
35,2023-12-31 23:00:00,10.0,Las Palmas
36,2023-12-31 23:00:00,-0.05,Pontevedra
37,2023-12-31 23:00:00,2.73,Salamanca
38,2023-12-31 23:00:00,7.81,Santa Cruz De Tenerife
39,2023-12-31 23:00:00,4.68,Cantabria
40,2023-12-31 23:00:00,10.36,Segovia
41,2023-12-31 23:00:00,4.58,Sevilla
42,2023-12-31 23:00:00,1.22,Soria
43,2023-12-31 23:00:00,15.87,Tarragona
44,2023-12-31 23:00:00,5.76,Teruel
45,2023-12-31 23:00:00,15.91,Toledo
46,2023-12-31 23:00:00,19.43,València/Valencia
47,2023-12-31 23:00:00,6.7,Valladolid
48,2023-12-31 23:00:00,6.76,Bizkaia/Vizcaya
49,2023-12-31 23:00:00,-4.15,Zamora
50,2023-12-31 23:00:00,10.75,Zaragoza
51,2023-12-31 23:00:00,4.65,Ceuta
52,2023-12-31 23:00:00,12.5,Melilla
