cod_prov,periodo,valor,provincia
01,2023-12-31 23:00:00,6.15,Araba/Álava
02,2023-12-31 23:00:00,6.53,Albacete
03,2023-12-31 23:00:00,6.56,Alacant/Alicante
04,2023-12-31 23:00:00,8.59,Almería
05,2023-12-31 23:00:00,5.32,Ávila
06,2023-12-31 23:00:00,6.56,Badajoz
07,2023-12-31 23:00:00,7.31,Illes Balears
08,2023-12-31 23:00:00,6.59,Barcelona
09,2023-12-31 23:00:00,5.62,Burgos
10,2023-12-31 23:00:00,5.59,Cáceres
11,2023-12-31 23:00:00,6.34,Cádiz
12,2023-12-31 23:00:00,6.71,Castelló/Castellón
13,2023-12-31 23:00:00,6.53,Ciudad Real
14,2023-12-31 23:00:00,6.88,Córdoba
15,2023-12-31 23:00:00,5.12,A Coruña
16,2023-12-31 23:00:00,6.63,Cuenca
17,2023-12-31 23:00:00,6.97,Girona
18,2023-12-31 23:00:00,7.03,Granada
19,2023-12-31 23:00:00,6.54,Guadalajara
20,2023-12-31 23:00:00,6.06,Gipuzkoa/Guipúzcoa
21,2023-12-31 23:00:00,6.73,Huelva
22,2023-12-31 23:00:00,6.56,Huesca
23,2023-12-31 23:00:00,6.74,Jaén
24,2023-12-31 23:00:00,4.46,León
25,2023-12-31 23:00:00,6.97,Lleida
26,2023-12-31 23:00:00,6.3,La Rioja
27,2023-12-31 23:00:00,4.95,Lugo
28,2023-12-31 23:00:00,7.19,Madrid
29,2023-12-31 23:00:00,6.57,Málaga
30,2023-12-31 23:00:00,7.93,Murcia
31,2023-12-31 23:00:00,6.71,Navarra
32,2023-12-31 23:00:00,4.15,Ourense
33,2023-12-31 23:00:00,4.48,Asturias
34,2023-12-31 23:00:00,5.2,Palencia
35,2023-12-31 23:00:00,5.45,Las Palmas
36,2023-12-31 23:00:00,4.94,Pontevedra
37,2023-12-31 23:00:00,5.09,Salamanca
38,2023-12-31 23:00:00,4.93,Santa Cruz De Tenerife
39,2023-12-31 23:00:00,5.09,Cantabria
40,2023-12-31 23:00:00,5.94,Segovia
41,2023-12-31 23:00:00,7.15,Sevilla
42,2023-12-31 23:00:00,5.33,Soria
43,2023-12-31 23:00:00,6.66,Tarragona
44,2023-12-31 23:00:00,6.48,Teruel
45,2023-12-31 23:00:00,7.02,Toledo
46,2023-12-31 23:00:00,6.63,València/Valencia
47,2023-12-31 23:00:00,5.78,Valladolid
48,2023-12-31 23:00:00,5.52,Bizkaia/Vizcaya
49,2023-12-31 23:00:00,4.22,Zamora
50,2023-12-31 23:00:00,6.26,Zaragoza
51,2023-12-31 23:00:00,8.22,Ceuta
52,2023-12-31 23:00:00,9.19,Melilla
