cod_prov,periodo,valor,provincia
01,2023-12-31 23:00:00,11.37,Araba/Álava
02,2023-12-31 23:00:00,8.59,Albacete
03,2023-12-31 23:00:00,20.33,Alacant/Alicante
04,2023-12-31 23:00:00,12.9,Almería
05,2023-12-31 23:00:00,12.31,Ávila
06,2023-12-31 23:00:00,3.73,Badajoz
07,2023-12-31 23:00:00,12.68,Illes Balears
08,2023-12-31 23:00:00,17.02,Barcelona
09,2023-12-31 23:00:00,11.92,Burgos
10,2023-12-31 23:00:00,6.73,Cáceres
11,2023-12-31 23:00:00,5.5,Cádiz
12,2023-12-31 23:00:00,17.26,Castelló/Castellón
13,2023-12-31 23:00:00,8.57,Ciudad Real
14,2023-12-31 23:00:00,3.92,Córdoba
15,2023-12-31 23:00:00,11.56,A Coruña
16,2023-12-31 23:00:00,12.72,Cuenca
17,2023-12-31 23:00:00,11.21,Girona
18,2023-12-31 23:00:00,7.92,Granada
19,2023-12-31 23:00:00,15.31,Guadalajara
20,2023-12-31 23:00:00,9.59,Gipuzkoa/Guipúzcoa
21,2023-12-31 23:00:00,8.44,Huelva
22,2023-12-31 23:00:00,11.93,Huesca
23,2023-12-31 23:00:00,6.3,Jaén
24,2023-12-31 23:00:00,9.3,León
25,2023-12-31 23:00:00,16.29,Lleida
26,2023-12-31 23:00:00,9.21,La Rioja
27,2023-12-31 23:00:00,13.08,Lugo
28,2023-12-31 23:00:00,16.14,Madrid
29,2023-12-31 23:00:00,11.82,Málaga
30,2023-12-31 23:00:00,11.85,Murcia
31,2023-12-31 23:00:00,10.67,Navarra
32,2023-12-31 23:00:00,12.66,Ourense
33,2023-12-31 23:00:00,10.21,Asturias
34,2023-12-31 23:00:00,11.71,Palencia
35,2023-12-31 23:00:00,12.55,Las Palmas
36,2023-12-31 23:00:00,6.88,Pontevedra
37,2023-12-31 23:00:00,8.93,Salamanca
38,2023-12-31 23:00:00,11.73,Santa Cruz De Tenerife
39,2023-12-31 23:00:00,8.53,Cantabria
40,2023-12-31 23:00:00,13.83,Segovia
41,2023-12-31 23:00:00,5.56,Sevilla
42,2023-12-31 23:00:00,15.47,Soria
43,2023-12-31 23:00:00,13.41,Tarragona
44,2023-12-31 23:00:00,14.1,Teruel
45,2023-12-31 23:00:00,12.5,Toledo
46,2023-12-31 23:00:00,19.4,València/Valencia
47,2023-12-31 23:00:00,8.05,Valladolid
48,2023-12-31 23:00:00,10.78,Bizkaia/Vizcaya
49,2023-12-31 23:00:00,7.68,Zamora
50,2023-12-31 23:00:00,12.48,Zaragoza
51,2023-12-31 23:00:00,4.99,Ceuta
52,2023-12-31 23:00:00,16.87,Melilla
